ts,stage,node,cpu_millicores,mem_mib
2026-09-22T18:50:06+02:00,1vu,scw-invoicerr-loadtest-load-9288db016e754b0297,1030,2564
2026-09-22T18:50:23+02:00,1vu,scw-invoicerr-loadtest-load-9288db016e754b0297,1063,2572
2026-09-22T18:50:40+02:00,1vu,scw-invoicerr-loadtest-load-9288db016e754b0297,1405,2657
2026-09-22T18:50:57+02:00,1vu,scw-invoicerr-loadtest-load-9288db016e754b0297,1377,2587
2026-09-22T18:51:14+02:00,1vu,scw-invoicerr-loadtest-load-9288db016e754b0297,1487,2584
2026-09-22T18:51:31+02:00,1vu,scw-invoicerr-loadtest-load-9288db016e754b0297,1392,2808
2026-09-22T18:51:50+02:00,1vu,scw-invoicerr-loadtest-load-9288db016e754b0297,1461,2595
2026-09-22T18:52:07+02:00,1vu,scw-invoicerr-loadtest-load-9288db016e754b0297,1423,2594
2026-09-22T18:52:24+02:00,1vu,scw-invoicerr-loadtest-load-9288db016e754b0297,1409,2628
2026-09-22T18:52:41+02:00,1vu,scw-invoicerr-loadtest-load-9288db016e754b0297,1488,2600
2026-09-22T18:52:59+02:00,1vu,scw-invoicerr-loadtest-load-9288db016e754b0297,1369,2601
2026-09-22T18:53:16+02:00,1vu,scw-invoicerr-loadtest-load-9288db016e754b0297,1376,2820
2026-09-22T18:53:33+02:00,1vu,scw-invoicerr-loadtest-load-9288db016e754b0297,1420,2608
2026-09-22T18:53:50+02:00,1vu,scw-invoicerr-loadtest-load-9288db016e754b0297,1393,2604
2026-09-22T18:54:07+02:00,1vu,scw-invoicerr-loadtest-load-9288db016e754b0297,1347,2679
2026-09-22T18:54:24+02:00,1vu,scw-invoicerr-loadtest-load-9288db016e754b0297,1429,2638
2026-09-22T18:54:41+02:00,1vu,scw-invoicerr-loadtest-load-9288db016e754b0297,1370,2610
2026-09-22T18:54:58+02:00,1vu,scw-invoicerr-loadtest-load-9288db016e754b0297,1351,2654
2026-09-22T18:56:10+02:00,2vu,scw-invoicerr-loadtest-load-9288db016e754b0297,215,2598
2026-09-22T18:56:27+02:00,2vu,scw-invoicerr-loadtest-load-9288db016e754b0297,1249,3058
2026-09-22T18:56:44+02:00,2vu,scw-invoicerr-loadtest-load-9288db016e754b0297,2205,2629
2026-09-22T18:57:01+02:00,2vu,scw-invoicerr-loadtest-load-9288db016e754b0297,2168,2663
2026-09-22T18:57:18+02:00,2vu,scw-invoicerr-loadtest-load-9288db016e754b0297,2042,2811
2026-09-22T18:57:35+02:00,2vu,scw-invoicerr-loadtest-load-9288db016e754b0297,2124,2664
2026-09-22T18:57:52+02:00,2vu,scw-invoicerr-loadtest-load-9288db016e754b0297,2023,2660
2026-09-22T18:58:09+02:00,2vu,scw-invoicerr-loadtest-load-9288db016e754b0297,1960,2681
2026-09-22T18:58:26+02:00,2vu,scw-invoicerr-loadtest-load-9288db016e754b0297,2265,2740
2026-09-22T18:58:43+02:00,2vu,scw-invoicerr-loadtest-load-9288db016e754b0297,2038,3105
2026-09-22T18:59:00+02:00,2vu,scw-invoicerr-loadtest-load-9288db016e754b0297,2035,2682
2026-09-22T18:59:17+02:00,2vu,scw-invoicerr-loadtest-load-9288db016e754b0297,2183,2688
2026-09-22T18:59:34+02:00,2vu,scw-invoicerr-loadtest-load-9288db016e754b0297,2063,2687
2026-09-22T18:59:51+02:00,2vu,scw-invoicerr-loadtest-load-9288db016e754b0297,2001,2692
2026-09-22T19:00:08+02:00,2vu,scw-invoicerr-loadtest-load-9288db016e754b0297,1953,2844
2026-09-22T19:00:25+02:00,2vu,scw-invoicerr-loadtest-load-9288db016e754b0297,2100,2699
2026-09-22T19:00:42+02:00,2vu,scw-invoicerr-loadtest-load-9288db016e754b0297,2156,2702
2026-09-22T19:00:59+02:00,2vu,scw-invoicerr-loadtest-load-9288db016e754b0297,1853,3064
2026-09-22T19:02:14+02:00,10vu,scw-invoicerr-loadtest-load-9288db016e754b0297,206,2590
2026-09-22T19:02:31+02:00,10vu,scw-invoicerr-loadtest-load-9288db016e754b0297,236,2597
2026-09-22T19:02:48+02:00,10vu,scw-invoicerr-loadtest-load-9288db016e754b0297,5245,4904
2026-09-22T19:03:05+02:00,10vu,scw-invoicerr-loadtest-load-9288db016e754b0297,5988,4884
2026-09-22T19:03:22+02:00,10vu,scw-invoicerr-loadtest-load-9288db016e754b0297,5973,4833
2026-09-22T19:03:39+02:00,10vu,scw-invoicerr-loadtest-load-9288db016e754b0297,5847,3756
2026-09-22T19:03:56+02:00,10vu,scw-invoicerr-loadtest-load-9288db016e754b0297,5976,4917
2026-09-22T19:04:13+02:00,10vu,scw-invoicerr-loadtest-load-9288db016e754b0297,5997,4679
2026-09-22T19:04:30+02:00,10vu,scw-invoicerr-loadtest-load-9288db016e754b0297,5854,4667
2026-09-22T19:04:47+02:00,10vu,scw-invoicerr-loadtest-load-9288db016e754b0297,5866,3847
2026-09-22T19:05:04+02:00,10vu,scw-invoicerr-loadtest-load-9288db016e754b0297,5887,4768
2026-09-22T19:05:21+02:00,10vu,scw-invoicerr-loadtest-load-9288db016e754b0297,5957,4639
2026-09-22T19:05:38+02:00,10vu,scw-invoicerr-loadtest-load-9288db016e754b0297,5886,4413
2026-09-22T19:05:55+02:00,10vu,scw-invoicerr-loadtest-load-9288db016e754b0297,5858,4259
2026-09-22T19:06:12+02:00,10vu,scw-invoicerr-loadtest-load-9288db016e754b0297,5969,4618
