ts,stage,pod,cpu_millicores,mem_mib
2026-09-22T18:50:06+02:00,1vu,lt-invoicerr-api-cbfdf49c9-k6gd9,600,503
2026-09-22T18:50:06+02:00,1vu,lt-invoicerr-ocr-67dfc6f76c-lt5xb,1,17
2026-09-22T18:50:06+02:00,1vu,lt-invoicerr-postgres-6f67654f68-4kckx,54,49
2026-09-22T18:50:06+02:00,1vu,lt-invoicerr-redis-64c5d7869-nnpmm,17,10
2026-09-22T18:50:06+02:00,1vu,lt-invoicerr-worker-5b7d867555-2gppk,101,510
2026-09-22T18:50:06+02:00,1vu,lt-invoicerr-worker-5b7d867555-4h56n,2,454
2026-09-22T18:50:06+02:00,1vu,lt-invoicerr-worker-5b7d867555-7gd9z,86,459
2026-09-22T18:50:06+02:00,1vu,mailpit-6f584d678c-n2nkm,2,34
2026-09-22T18:50:23+02:00,1vu,lt-invoicerr-api-cbfdf49c9-k6gd9,312,526
2026-09-22T18:50:23+02:00,1vu,lt-invoicerr-ocr-67dfc6f76c-lt5xb,1,17
2026-09-22T18:50:23+02:00,1vu,lt-invoicerr-postgres-6f67654f68-4kckx,66,49
2026-09-22T18:50:23+02:00,1vu,lt-invoicerr-redis-64c5d7869-nnpmm,31,10
2026-09-22T18:50:23+02:00,1vu,lt-invoicerr-worker-5b7d867555-2gppk,5,511
2026-09-22T18:50:23+02:00,1vu,lt-invoicerr-worker-5b7d867555-4h56n,170,460
2026-09-22T18:50:23+02:00,1vu,lt-invoicerr-worker-5b7d867555-7gd9z,143,462
2026-09-22T18:50:23+02:00,1vu,mailpit-6f584d678c-n2nkm,3,44
2026-09-22T18:50:40+02:00,1vu,lt-invoicerr-api-cbfdf49c9-k6gd9,422,501
2026-09-22T18:50:40+02:00,1vu,lt-invoicerr-ocr-67dfc6f76c-lt5xb,406,78
2026-09-22T18:50:40+02:00,1vu,lt-invoicerr-postgres-6f67654f68-4kckx,54,49
2026-09-22T18:50:40+02:00,1vu,lt-invoicerr-redis-64c5d7869-nnpmm,16,10
2026-09-22T18:50:40+02:00,1vu,lt-invoicerr-worker-5b7d867555-2gppk,2,511
2026-09-22T18:50:40+02:00,1vu,lt-invoicerr-worker-5b7d867555-4h56n,166,458
2026-09-22T18:50:40+02:00,1vu,lt-invoicerr-worker-5b7d867555-7gd9z,109,462
2026-09-22T18:50:40+02:00,1vu,mailpit-6f584d678c-n2nkm,6,47
2026-09-22T18:50:57+02:00,1vu,lt-invoicerr-api-cbfdf49c9-k6gd9,421,505
2026-09-22T18:50:57+02:00,1vu,lt-invoicerr-ocr-67dfc6f76c-lt5xb,432,17
2026-09-22T18:50:57+02:00,1vu,lt-invoicerr-postgres-6f67654f68-4kckx,54,49
2026-09-22T18:50:57+02:00,1vu,lt-invoicerr-redis-64c5d7869-nnpmm,15,10
2026-09-22T18:50:57+02:00,1vu,lt-invoicerr-worker-5b7d867555-2gppk,2,511
2026-09-22T18:50:57+02:00,1vu,lt-invoicerr-worker-5b7d867555-4h56n,184,463
2026-09-22T18:50:57+02:00,1vu,lt-invoicerr-worker-5b7d867555-7gd9z,215,462
2026-09-22T18:50:57+02:00,1vu,mailpit-6f584d678c-n2nkm,5,49
2026-09-22T18:51:14+02:00,1vu,lt-invoicerr-api-cbfdf49c9-k6gd9,426,503
2026-09-22T18:51:14+02:00,1vu,lt-invoicerr-ocr-67dfc6f76c-lt5xb,400,17
2026-09-22T18:51:14+02:00,1vu,lt-invoicerr-postgres-6f67654f68-4kckx,57,49
2026-09-22T18:51:14+02:00,1vu,lt-invoicerr-redis-64c5d7869-nnpmm,18,10
2026-09-22T18:51:14+02:00,1vu,lt-invoicerr-worker-5b7d867555-2gppk,3,511
2026-09-22T18:51:14+02:00,1vu,lt-invoicerr-worker-5b7d867555-4h56n,151,461
2026-09-22T18:51:14+02:00,1vu,lt-invoicerr-worker-5b7d867555-7gd9z,192,463
2026-09-22T18:51:14+02:00,1vu,mailpit-6f584d678c-n2nkm,5,49
2026-09-22T18:51:31+02:00,1vu,lt-invoicerr-api-cbfdf49c9-k6gd9,391,502
2026-09-22T18:51:31+02:00,1vu,lt-invoicerr-ocr-67dfc6f76c-lt5xb,381,17
2026-09-22T18:51:31+02:00,1vu,lt-invoicerr-postgres-6f67654f68-4kckx,54,49
2026-09-22T18:51:31+02:00,1vu,lt-invoicerr-redis-64c5d7869-nnpmm,11,10
2026-09-22T18:51:31+02:00,1vu,lt-invoicerr-worker-5b7d867555-2gppk,24,518
2026-09-22T18:51:31+02:00,1vu,lt-invoicerr-worker-5b7d867555-4h56n,212,461
2026-09-22T18:51:31+02:00,1vu,lt-invoicerr-worker-5b7d867555-7gd9z,209,469
2026-09-22T18:51:31+02:00,1vu,mailpit-6f584d678c-n2nkm,4,49
2026-09-22T18:51:50+02:00,1vu,lt-invoicerr-api-cbfdf49c9-k6gd9,531,516
2026-09-22T18:51:50+02:00,1vu,lt-invoicerr-ocr-67dfc6f76c-lt5xb,343,17
2026-09-22T18:51:50+02:00,1vu,lt-invoicerr-postgres-6f67654f68-4kckx,56,49
2026-09-22T18:51:50+02:00,1vu,lt-invoicerr-redis-64c5d7869-nnpmm,17,10
2026-09-22T18:51:50+02:00,1vu,lt-invoicerr-worker-5b7d867555-2gppk,4,517
2026-09-22T18:51:50+02:00,1vu,lt-invoicerr-worker-5b7d867555-4h56n,142,462
2026-09-22T18:51:50+02:00,1vu,lt-invoicerr-worker-5b7d867555-7gd9z,161,466
2026-09-22T18:51:50+02:00,1vu,mailpit-6f584d678c-n2nkm,4,49
2026-09-22T18:52:07+02:00,1vu,lt-invoicerr-api-cbfdf49c9-k6gd9,425,507
2026-09-22T18:52:07+02:00,1vu,lt-invoicerr-ocr-67dfc6f76c-lt5xb,232,17
2026-09-22T18:52:07+02:00,1vu,lt-invoicerr-postgres-6f67654f68-4kckx,53,49
2026-09-22T18:52:07+02:00,1vu,lt-invoicerr-redis-64c5d7869-nnpmm,17,10
2026-09-22T18:52:07+02:00,1vu,lt-invoicerr-worker-5b7d867555-2gppk,3,517
2026-09-22T18:52:07+02:00,1vu,lt-invoicerr-worker-5b7d867555-4h56n,161,464
2026-09-22T18:52:07+02:00,1vu,lt-invoicerr-worker-5b7d867555-7gd9z,168,466
2026-09-22T18:52:07+02:00,1vu,mailpit-6f584d678c-n2nkm,4,49
2026-09-22T18:52:24+02:00,1vu,lt-invoicerr-api-cbfdf49c9-k6gd9,455,530
2026-09-22T18:52:24+02:00,1vu,lt-invoicerr-ocr-67dfc6f76c-lt5xb,310,96
2026-09-22T18:52:24+02:00,1vu,lt-invoicerr-postgres-6f67654f68-4kckx,54,49
2026-09-22T18:52:24+02:00,1vu,lt-invoicerr-redis-64c5d7869-nnpmm,16,10
2026-09-22T18:52:24+02:00,1vu,lt-invoicerr-worker-5b7d867555-2gppk,137,517
2026-09-22T18:52:24+02:00,1vu,lt-invoicerr-worker-5b7d867555-4h56n,200,466
2026-09-22T18:52:24+02:00,1vu,lt-invoicerr-worker-5b7d867555-7gd9z,3,465
2026-09-22T18:52:24+02:00,1vu,mailpit-6f584d678c-n2nkm,4,49
2026-09-22T18:52:41+02:00,1vu,lt-invoicerr-api-cbfdf49c9-k6gd9,449,508
2026-09-22T18:52:41+02:00,1vu,lt-invoicerr-ocr-67dfc6f76c-lt5xb,415,17
2026-09-22T18:52:41+02:00,1vu,lt-invoicerr-postgres-6f67654f68-4kckx,62,49
2026-09-22T18:52:41+02:00,1vu,lt-invoicerr-redis-64c5d7869-nnpmm,12,10
2026-09-22T18:52:41+02:00,1vu,lt-invoicerr-worker-5b7d867555-2gppk,168,515
2026-09-22T18:52:41+02:00,1vu,lt-invoicerr-worker-5b7d867555-4h56n,175,466
2026-09-22T18:52:41+02:00,1vu,lt-invoicerr-worker-5b7d867555-7gd9z,2,465
2026-09-22T18:52:41+02:00,1vu,mailpit-6f584d678c-n2nkm,5,53
2026-09-22T18:52:59+02:00,1vu,lt-invoicerr-api-cbfdf49c9-k6gd9,448,530
2026-09-22T18:52:59+02:00,1vu,lt-invoicerr-ocr-67dfc6f76c-lt5xb,326,17
2026-09-22T18:52:59+02:00,1vu,lt-invoicerr-postgres-6f67654f68-4kckx,54,49
2026-09-22T18:52:59+02:00,1vu,lt-invoicerr-redis-64c5d7869-nnpmm,16,10
2026-09-22T18:52:59+02:00,1vu,lt-invoicerr-worker-5b7d867555-2gppk,177,514
2026-09-22T18:52:59+02:00,1vu,lt-invoicerr-worker-5b7d867555-4h56n,144,466
2026-09-22T18:52:59+02:00,1vu,lt-invoicerr-worker-5b7d867555-7gd9z,2,465
2026-09-22T18:52:59+02:00,1vu,mailpit-6f584d678c-n2nkm,5,53
2026-09-22T18:53:16+02:00,1vu,lt-invoicerr-api-cbfdf49c9-k6gd9,378,504
2026-09-22T18:53:16+02:00,1vu,lt-invoicerr-ocr-67dfc6f76c-lt5xb,305,17
2026-09-22T18:53:16+02:00,1vu,lt-invoicerr-postgres-6f67654f68-4kckx,59,50
2026-09-22T18:53:16+02:00,1vu,lt-invoicerr-redis-64c5d7869-nnpmm,16,10
2026-09-22T18:53:16+02:00,1vu,lt-invoicerr-worker-5b7d867555-2gppk,119,520
2026-09-22T18:53:16+02:00,1vu,lt-invoicerr-worker-5b7d867555-4h56n,133,466
