ts,stage,wait,active,delayed,prioritized,failed,pg_connections
2026-09-22T18:50:06+02:00,1vu,0,1,8,0,0,8
2026-09-22T18:50:23+02:00,1vu,0,0,8,0,0,8
2026-09-22T18:50:40+02:00,1vu,0,0,8,0,0,8
2026-09-22T18:50:57+02:00,1vu,0,1,8,0,0,8
2026-09-22T18:51:14+02:00,1vu,0,0,8,0,0,8
2026-09-22T18:51:31+02:00,1vu,0,0,8,0,0,8
2026-09-22T18:51:50+02:00,1vu,0,0,8,0,0,8
2026-09-22T18:52:07+02:00,1vu,0,0,8,0,0,9
2026-09-22T18:52:24+02:00,1vu,0,0,8,0,0,8
2026-09-22T18:52:41+02:00,1vu,0,1,8,0,0,8
2026-09-22T18:52:59+02:00,1vu,0,0,8,0,0,9
2026-09-22T18:53:16+02:00,1vu,0,0,8,0,0,8
2026-09-22T18:53:33+02:00,1vu,0,0,8,0,0,8
2026-09-22T18:53:50+02:00,1vu,0,0,8,0,0,8
2026-09-22T18:54:07+02:00,1vu,0,0,8,0,0,9
2026-09-22T18:54:24+02:00,1vu,0,0,8,0,0,8
2026-09-22T18:54:41+02:00,1vu,0,0,8,0,0,8
2026-09-22T18:54:58+02:00,1vu,0,0,8,0,0,9
2026-09-22T18:56:10+02:00,2vu,0,0,8,0,0,11
2026-09-22T18:56:27+02:00,2vu,0,2,8,0,0,13
2026-09-22T18:56:44+02:00,2vu,0,2,8,0,0,13
2026-09-22T18:57:01+02:00,2vu,0,0,8,0,0,13
2026-09-22T18:57:18+02:00,2vu,0,0,8,0,0,13
2026-09-22T18:57:35+02:00,2vu,0,0,8,0,0,13
2026-09-22T18:57:52+02:00,2vu,0,0,8,0,0,12
2026-09-22T18:58:09+02:00,2vu,0,0,8,0,0,13
2026-09-22T18:58:26+02:00,2vu,0,0,8,0,0,13
2026-09-22T18:58:43+02:00,2vu,0,0,8,0,0,13
2026-09-22T18:59:00+02:00,2vu,0,1,8,0,0,13
2026-09-22T18:59:17+02:00,2vu,0,1,8,0,0,13
2026-09-22T18:59:34+02:00,2vu,0,1,8,0,0,13
2026-09-22T18:59:51+02:00,2vu,0,0,8,0,0,13
2026-09-22T19:00:08+02:00,2vu,0,0,8,0,0,13
2026-09-22T19:00:25+02:00,2vu,0,1,8,0,0,13
2026-09-22T19:00:42+02:00,2vu,0,0,8,0,0,12
2026-09-22T19:00:59+02:00,2vu,0,0,8,0,0,13
2026-09-22T19:02:14+02:00,10vu,0,0,8,0,0,18
2026-09-22T19:02:31+02:00,10vu,0,0,8,0,0,16
2026-09-22T19:02:48+02:00,10vu,0,0,8,0,0,2
2026-09-22T19:03:05+02:00,10vu,0,0,8,0,0,4
2026-09-22T19:03:22+02:00,10vu,0,1,8,0,0,15
2026-09-22T19:03:39+02:00,10vu,0,0,8,0,0,15
2026-09-22T19:03:56+02:00,10vu,0,0,8,0,0,2
2026-09-22T19:04:13+02:00,10vu,0,0,8,0,0,8
2026-09-22T19:04:30+02:00,10vu,0,0,8,0,0,13
2026-09-22T19:04:47+02:00,10vu,0,0,8,0,0,12
2026-09-22T19:05:04+02:00,10vu,0,0,8,0,0,9
2026-09-22T19:05:21+02:00,10vu,0,0,8,0,0,14
2026-09-22T19:05:38+02:00,10vu,0,0,8,0,0,14
2026-09-22T19:05:55+02:00,10vu,0,0,8,0,0,7
2026-09-22T19:06:12+02:00,10vu,0,2,8,0,0,13
2026-09-22T19:06:29+02:00,10vu,0,1,8,0,0,12
2026-09-22T19:06:46+02:00,10vu,0,2,8,0,0,12
2026-09-22T19:07:03+02:00,10vu,0,0,8,0,0,8
2026-09-22T19:07:20+02:00,10vu,0,0,8,0,0,2
2026-09-22T19:08:40+02:00,50vu,0,0,8,0,0,16
2026-09-22T19:08:58+02:00,50vu,1,3,8,0,0,18
2026-09-22T19:09:15+02:00,50vu,0,3,8,0,0,17
2026-09-22T19:09:33+02:00,50vu,0,2,8,0,0,20
2026-09-22T19:09:50+02:00,50vu,0,0,8,0,0,14
2026-09-22T19:10:07+02:00,50vu,0,0,8,0,0,5
2026-09-22T19:10:24+02:00,50vu,0,0,8,0,0,2
2026-09-22T19:10:41+02:00,50vu,0,0,8,0,0,12
2026-09-22T19:10:58+02:00,50vu,2,3,8,0,0,22
2026-09-22T19:11:16+02:00,50vu,0,0,8,0,0,21
2026-09-22T19:11:34+02:00,50vu,0,3,8,0,0,17
2026-09-22T19:11:51+02:00,50vu,0,0,8,0,0,6
2026-09-22T19:12:09+02:00,50vu,0,3,8,0,0,17
2026-09-22T19:12:27+02:00,50vu,0,2,8,0,0,17
2026-09-22T19:12:45+02:00,50vu,2,3,8,0,0,22
2026-09-22T19:13:04+02:00,50vu,1,3,8,0,0,
