ts,stage,node,cpu_millicores,mem_mib
2026-09-22T19:27:11+02:00,1vu,scw-invoicerr-loadtest-load-9288db016e754b0297,235,3465
2026-09-22T19:27:29+02:00,1vu,scw-invoicerr-loadtest-load-9288db016e754b0297,519,3509
2026-09-22T19:27:46+02:00,1vu,scw-invoicerr-loadtest-load-9288db016e754b0297,1379,3526
2026-09-22T19:28:03+02:00,1vu,scw-invoicerr-loadtest-load-9288db016e754b0297,1435,3533
2026-09-22T19:28:19+02:00,1vu,scw-invoicerr-loadtest-load-9288db016e754b0297,1398,3574
2026-09-22T19:28:36+02:00,1vu,scw-invoicerr-loadtest-load-9288db016e754b0297,1548,3581
2026-09-22T19:28:53+02:00,1vu,scw-invoicerr-loadtest-load-9288db016e754b0297,1387,3593
2026-09-22T19:29:10+02:00,1vu,scw-invoicerr-loadtest-load-9288db016e754b0297,1386,3593
2026-09-22T19:29:27+02:00,1vu,scw-invoicerr-loadtest-load-9288db016e754b0297,1373,3610
2026-09-22T19:29:44+02:00,1vu,scw-invoicerr-loadtest-load-9288db016e754b0297,1297,3604
2026-09-22T19:30:01+02:00,1vu,scw-invoicerr-loadtest-load-9288db016e754b0297,1277,3614
2026-09-22T19:30:18+02:00,1vu,scw-invoicerr-loadtest-load-9288db016e754b0297,1323,3636
2026-09-22T19:30:35+02:00,1vu,scw-invoicerr-loadtest-load-9288db016e754b0297,1391,3618
2026-09-22T19:30:52+02:00,1vu,scw-invoicerr-loadtest-load-9288db016e754b0297,1357,3618
2026-09-22T19:31:10+02:00,1vu,scw-invoicerr-loadtest-load-9288db016e754b0297,1487,3632
2026-09-22T19:31:27+02:00,1vu,scw-invoicerr-loadtest-load-9288db016e754b0297,1397,3638
2026-09-22T19:31:44+02:00,1vu,scw-invoicerr-loadtest-load-9288db016e754b0297,1361,3646
2026-09-22T19:32:01+02:00,1vu,scw-invoicerr-loadtest-load-9288db016e754b0297,1355,3660
2026-09-22T19:32:17+02:00,1vu,scw-invoicerr-loadtest-load-9288db016e754b0297,1173,3632
2026-09-22T19:33:19+02:00,2vu,scw-invoicerr-loadtest-load-9288db016e754b0297,203,3614
2026-09-22T19:33:36+02:00,2vu,scw-invoicerr-loadtest-load-9288db016e754b0297,885,3656
2026-09-22T19:33:53+02:00,2vu,scw-invoicerr-loadtest-load-9288db016e754b0297,1899,3648
2026-09-22T19:34:10+02:00,2vu,scw-invoicerr-loadtest-load-9288db016e754b0297,1937,3670
2026-09-22T19:34:27+02:00,2vu,scw-invoicerr-loadtest-load-9288db016e754b0297,1787,3675
2026-09-22T19:34:44+02:00,2vu,scw-invoicerr-loadtest-load-9288db016e754b0297,1904,3737
2026-09-22T19:35:00+02:00,2vu,scw-invoicerr-loadtest-load-9288db016e754b0297,1836,3690
2026-09-22T19:35:30+02:00,2vu,scw-invoicerr-loadtest-load-9288db016e754b0297,1840,3739
2026-09-22T19:35:58+02:00,2vu,scw-invoicerr-loadtest-load-9288db016e754b0297,1877,3716
2026-09-22T19:36:16+02:00,2vu,scw-invoicerr-loadtest-load-9288db016e754b0297,1971,3764
2026-09-22T19:36:33+02:00,2vu,scw-invoicerr-loadtest-load-9288db016e754b0297,1802,3716
2026-09-22T19:36:50+02:00,2vu,scw-invoicerr-loadtest-load-9288db016e754b0297,1956,3791
2026-09-22T19:37:07+02:00,2vu,scw-invoicerr-loadtest-load-9288db016e754b0297,1761,3763
2026-09-22T19:37:24+02:00,2vu,scw-invoicerr-loadtest-load-9288db016e754b0297,1824,3730
2026-09-22T19:37:41+02:00,2vu,scw-invoicerr-loadtest-load-9288db016e754b0297,1827,3724
2026-09-22T19:37:58+02:00,2vu,scw-invoicerr-loadtest-load-9288db016e754b0297,1930,3735
2026-09-22T19:38:15+02:00,2vu,scw-invoicerr-loadtest-load-9288db016e754b0297,1782,3726
2026-09-22T19:39:23+02:00,10vu,scw-invoicerr-loadtest-load-9288db016e754b0297,201,3623
2026-09-22T19:39:40+02:00,10vu,scw-invoicerr-loadtest-load-9288db016e754b0297,1158,3762
2026-09-22T19:39:57+02:00,10vu,scw-invoicerr-loadtest-load-9288db016e754b0297,5116,3770
2026-09-22T19:40:14+02:00,10vu,scw-invoicerr-loadtest-load-9288db016e754b0297,5184,3847
2026-09-22T19:40:32+02:00,10vu,scw-invoicerr-loadtest-load-9288db016e754b0297,5157,3741
2026-09-22T19:40:49+02:00,10vu,scw-invoicerr-loadtest-load-9288db016e754b0297,4932,3787
2026-09-22T19:41:06+02:00,10vu,scw-invoicerr-loadtest-load-9288db016e754b0297,5109,3826
2026-09-22T19:41:24+02:00,10vu,scw-invoicerr-loadtest-load-9288db016e754b0297,5197,3801
2026-09-22T19:41:41+02:00,10vu,scw-invoicerr-loadtest-load-9288db016e754b0297,5198,3859
2026-09-22T19:41:58+02:00,10vu,scw-invoicerr-loadtest-load-9288db016e754b0297,5255,3829
2026-09-22T19:42:15+02:00,10vu,scw-invoicerr-loadtest-load-9288db016e754b0297,5023,3794
2026-09-22T19:42:33+02:00,10vu,scw-invoicerr-loadtest-load-9288db016e754b0297,5110,3785
2026-09-22T19:42:50+02:00,10vu,scw-invoicerr-loadtest-load-9288db016e754b0297,5089,3872
2026-09-22T19:43:07+02:00,10vu,scw-invoicerr-loadtest-load-9288db016e754b0297,5072,3802
2026-09-22T19:43:24+02:00,10vu,scw-invoicerr-loadtest-load-9288db016e754b0297,5238,3837
2026-09-22T19:43:41+02:00,10vu,scw-invoicerr-loadtest-load-9288db016e754b0297,5255,3859
2026-09-22T19:44:00+02:00,10vu,scw-invoicerr-loadtest-load-9288db016e754b0297,5226,3843
2026-09-22T19:44:18+02:00,10vu,scw-invoicerr-loadtest-load-9288db016e754b0297,5191,3866
2026-09-22T19:45:28+02:00,50vu,scw-invoicerr-loadtest-load-9288db016e754b0297,259,3634
2026-09-22T19:45:45+02:00,50vu,scw-invoicerr-loadtest-load-9288db016e754b0297,360,3672
2026-09-22T19:46:03+02:00,50vu,scw-invoicerr-loadtest-load-9288db016e754b0297,5621,3892
2026-09-22T19:46:20+02:00,50vu,scw-invoicerr-loadtest-load-9288db016e754b0297,5657,3831
2026-09-22T19:46:37+02:00,50vu,scw-invoicerr-loadtest-load-9288db016e754b0297,5696,3893
2026-09-22T19:46:55+02:00,50vu,scw-invoicerr-loadtest-load-9288db016e754b0297,5733,3909
2026-09-22T19:47:12+02:00,50vu,scw-invoicerr-loadtest-load-9288db016e754b0297,5596,3882
2026-09-22T19:47:30+02:00,50vu,scw-invoicerr-loadtest-load-9288db016e754b0297,5430,3870
2026-09-22T19:47:47+02:00,50vu,scw-invoicerr-loadtest-load-9288db016e754b0297,5596,3844
2026-09-22T19:48:05+02:00,50vu,scw-invoicerr-loadtest-load-9288db016e754b0297,5431,3873
2026-09-22T19:48:22+02:00,50vu,scw-invoicerr-loadtest-load-9288db016e754b0297,5166,3867
2026-09-22T19:48:39+02:00,50vu,scw-invoicerr-loadtest-load-9288db016e754b0297,5526,3860
2026-09-22T19:48:57+02:00,50vu,scw-invoicerr-loadtest-load-9288db016e754b0297,5674,3887
2026-09-22T19:49:14+02:00,50vu,scw-invoicerr-loadtest-load-9288db016e754b0297,5494,3914
2026-09-22T19:49:32+02:00,50vu,scw-invoicerr-loadtest-load-9288db016e754b0297,5551,3862
2026-09-22T19:49:49+02:00,50vu,scw-invoicerr-loadtest-load-9288db016e754b0297,5615,3890
2026-09-22T19:50:07+02:00,50vu,scw-invoicerr-loadtest-load-9288db016e754b0297,5522,3863
2026-09-22T19:50:24+02:00,50vu,scw-invoicerr-loadtest-load-9288db016e754b0297,5550,3854
2026-09-22T19:50:41+02:00,50vu,scw-invoicerr-loadtest-load-9288db016e754b0297,5502,3924
