ts,stage,pod,cpu_millicores,mem_mib
2026-09-22T19:27:11+02:00,1vu,lt-invoicerr-api-f5f87984b-jt499,65,475
2026-09-22T19:27:11+02:00,1vu,lt-invoicerr-postgres-6f67654f68-4kckx,14,68
2026-09-22T19:27:11+02:00,1vu,lt-invoicerr-redis-64c5d7869-nnpmm,8,23
2026-09-22T19:27:11+02:00,1vu,lt-invoicerr-worker-96c677f9b-9l7xk,2,502
2026-09-22T19:27:11+02:00,1vu,lt-invoicerr-worker-96c677f9b-n2xvd,2,494
2026-09-22T19:27:11+02:00,1vu,lt-invoicerr-worker-96c677f9b-vln6m,2,467
2026-09-22T19:27:11+02:00,1vu,mailpit-6f584d678c-n2nkm,0,41
2026-09-22T19:27:29+02:00,1vu,lt-invoicerr-api-f5f87984b-jt499,136,487
2026-09-22T19:27:29+02:00,1vu,lt-invoicerr-postgres-6f67654f68-4kckx,28,72
2026-09-22T19:27:29+02:00,1vu,lt-invoicerr-redis-64c5d7869-nnpmm,9,23
2026-09-22T19:27:29+02:00,1vu,lt-invoicerr-worker-96c677f9b-9l7xk,4,502
2026-09-22T19:27:29+02:00,1vu,lt-invoicerr-worker-96c677f9b-n2xvd,3,494
2026-09-22T19:27:29+02:00,1vu,lt-invoicerr-worker-96c677f9b-vln6m,2,467
2026-09-22T19:27:29+02:00,1vu,mailpit-6f584d678c-n2nkm,1,41
2026-09-22T19:27:46+02:00,1vu,lt-invoicerr-api-f5f87984b-jt499,678,488
2026-09-22T19:27:46+02:00,1vu,lt-invoicerr-postgres-6f67654f68-4kckx,60,78
2026-09-22T19:27:46+02:00,1vu,lt-invoicerr-redis-64c5d7869-nnpmm,16,23
2026-09-22T19:27:46+02:00,1vu,lt-invoicerr-worker-96c677f9b-9l7xk,170,507
2026-09-22T19:27:46+02:00,1vu,lt-invoicerr-worker-96c677f9b-n2xvd,230,510
2026-09-22T19:27:46+02:00,1vu,lt-invoicerr-worker-96c677f9b-vln6m,2,467
2026-09-22T19:27:46+02:00,1vu,mailpit-6f584d678c-n2nkm,6,41
2026-09-22T19:28:03+02:00,1vu,lt-invoicerr-api-f5f87984b-jt499,618,490
2026-09-22T19:28:03+02:00,1vu,lt-invoicerr-postgres-6f67654f68-4kckx,70,78
2026-09-22T19:28:03+02:00,1vu,lt-invoicerr-redis-64c5d7869-nnpmm,17,23
2026-09-22T19:28:03+02:00,1vu,lt-invoicerr-worker-96c677f9b-9l7xk,261,511
2026-09-22T19:28:03+02:00,1vu,lt-invoicerr-worker-96c677f9b-n2xvd,210,515
2026-09-22T19:28:03+02:00,1vu,lt-invoicerr-worker-96c677f9b-vln6m,3,467
2026-09-22T19:28:03+02:00,1vu,mailpit-6f584d678c-n2nkm,7,48
2026-09-22T19:28:19+02:00,1vu,lt-invoicerr-api-f5f87984b-jt499,618,490
2026-09-22T19:28:19+02:00,1vu,lt-invoicerr-postgres-6f67654f68-4kckx,74,82
2026-09-22T19:28:19+02:00,1vu,lt-invoicerr-redis-64c5d7869-nnpmm,20,23
