ts,stage,wait,active,delayed,prioritized,failed,pg_connections
2026-09-22T19:27:11+02:00,1vu,0,1,8,0,5,6
2026-09-22T19:27:29+02:00,1vu,0,0,8,0,5,8
2026-09-22T19:27:46+02:00,1vu,0,0,8,0,5,8
2026-09-22T19:28:03+02:00,1vu,0,0,8,0,5,10
2026-09-22T19:28:19+02:00,1vu,0,0,8,0,5,8
2026-09-22T19:28:36+02:00,1vu,0,1,8,0,5,8
2026-09-22T19:28:53+02:00,1vu,0,0,8,0,5,8
2026-09-22T19:29:10+02:00,1vu,0,1,8,0,5,8
2026-09-22T19:29:27+02:00,1vu,0,0,8,0,5,8
2026-09-22T19:29:44+02:00,1vu,0,1,8,0,5,8
2026-09-22T19:30:01+02:00,1vu,0,0,8,0,5,9
2026-09-22T19:30:18+02:00,1vu,0,0,8,0,5,8
2026-09-22T19:30:35+02:00,1vu,0,0,8,0,5,8
2026-09-22T19:30:52+02:00,1vu,0,1,8,0,5,8
2026-09-22T19:31:10+02:00,1vu,0,0,8,0,5,8
2026-09-22T19:31:27+02:00,1vu,0,1,8,0,5,8
2026-09-22T19:31:44+02:00,1vu,0,0,8,0,5,8
2026-09-22T19:32:01+02:00,1vu,0,0,8,0,5,10
2026-09-22T19:33:19+02:00,2vu,0,0,8,0,5,10
2026-09-22T19:33:36+02:00,2vu,0,0,8,0,5,13
2026-09-22T19:33:53+02:00,2vu,0,0,8,0,5,13
2026-09-22T19:34:10+02:00,2vu,0,0,8,0,5,13
2026-09-22T19:34:27+02:00,2vu,0,0,8,0,5,13
2026-09-22T19:34:44+02:00,2vu,0,0,8,0,5,14
2026-09-22T19:35:00+02:00,2vu,0,2,8,0,5,13
2026-09-22T19:35:30+02:00,2vu,0,0,8,0,5,13
2026-09-22T19:35:58+02:00,2vu,0,0,8,0,5,13
2026-09-22T19:36:16+02:00,2vu,0,0,8,0,5,14
2026-09-22T19:36:33+02:00,2vu,0,0,8,0,5,13
2026-09-22T19:36:50+02:00,2vu,0,0,8,0,5,13
2026-09-22T19:37:07+02:00,2vu,0,0,8,0,5,13
2026-09-22T19:37:24+02:00,2vu,0,0,8,0,5,13
2026-09-22T19:37:41+02:00,2vu,0,0,8,0,5,13
2026-09-22T19:37:58+02:00,2vu,0,0,8,0,5,13
2026-09-22T19:38:15+02:00,2vu,0,2,8,0,5,13
2026-09-22T19:39:23+02:00,10vu,0,0,8,0,5,16
2026-09-22T19:39:40+02:00,10vu,1,2,8,0,5,16
2026-09-22T19:39:57+02:00,10vu,0,1,8,0,5,16
2026-09-22T19:40:14+02:00,10vu,0,3,8,0,5,15
2026-09-22T19:40:32+02:00,10vu,1,3,8,0,5,17
2026-09-22T19:40:49+02:00,10vu,0,0,8,0,5,16
2026-09-22T19:41:06+02:00,10vu,0,0,8,0,5,16
2026-09-22T19:41:24+02:00,10vu,0,3,8,0,5,17
2026-09-22T19:41:41+02:00,10vu,0,2,8,0,5,16
2026-09-22T19:41:58+02:00,10vu,0,1,8,0,5,16
2026-09-22T19:42:15+02:00,10vu,1,3,8,0,5,17
2026-09-22T19:42:33+02:00,10vu,0,2,8,0,5,16
2026-09-22T19:42:50+02:00,10vu,0,3,8,0,5,17
2026-09-22T19:43:07+02:00,10vu,0,2,8,0,5,17
2026-09-22T19:43:24+02:00,10vu,0,0,8,0,5,16
2026-09-22T19:43:41+02:00,10vu,0,3,8,0,5,16
2026-09-22T19:44:00+02:00,10vu,1,2,8,0,5,17
2026-09-22T19:44:18+02:00,10vu,0,3,8,0,5,17
2026-09-22T19:45:28+02:00,50vu,0,0,8,0,5,16
2026-09-22T19:45:45+02:00,50vu,0,2,8,0,5,18
2026-09-22T19:46:03+02:00,50vu,1,3,8,0,5,18
2026-09-22T19:46:20+02:00,50vu,1,2,8,0,5,17
2026-09-22T19:46:37+02:00,50vu,1,3,8,0,5,19
2026-09-22T19:46:55+02:00,50vu,0,3,8,0,5,17
2026-09-22T19:47:12+02:00,50vu,2,3,8,0,5,20
2026-09-22T19:47:30+02:00,50vu,0,3,8,0,5,18
2026-09-22T19:47:47+02:00,50vu,0,3,8,0,5,19
2026-09-22T19:48:05+02:00,50vu,0,3,8,0,5,19
2026-09-22T19:48:22+02:00,50vu,0,3,8,0,5,18
2026-09-22T19:48:39+02:00,50vu,0,2,8,0,5,17
2026-09-22T19:48:57+02:00,50vu,8,3,8,0,5,19
2026-09-22T19:49:14+02:00,50vu,0,2,8,0,5,21
2026-09-22T19:49:32+02:00,50vu,0,3,8,0,5,19
2026-09-22T19:49:49+02:00,50vu,2,3,8,0,5,19
2026-09-22T19:50:07+02:00,50vu,0,2,8,0,5,18
2026-09-22T19:50:24+02:00,50vu,0,3,8,0,5,18
