ts,stage,node,cpu_millicores,mem_mib
2026-09-22T18:21:00.632Z,10vu,scw-invoicerr-loadtest-12c-load-0d71ca088f864e,318,2482
2026-09-22T18:21:16.061Z,10vu,scw-invoicerr-loadtest-12c-load-0d71ca088f864e,360,2508
2026-09-22T18:21:31.466Z,10vu,scw-invoicerr-loadtest-12c-load-0d71ca088f864e,6169,2757
2026-09-22T18:21:46.907Z,10vu,scw-invoicerr-loadtest-12c-load-0d71ca088f864e,6337,2829
2026-09-22T18:22:02.338Z,10vu,scw-invoicerr-loadtest-12c-load-0d71ca088f864e,6301,2846
2026-09-22T18:22:17.747Z,10vu,scw-invoicerr-loadtest-12c-load-0d71ca088f864e,6291,2889
2026-09-22T18:22:33.204Z,10vu,scw-invoicerr-loadtest-12c-load-0d71ca088f864e,6304,2862
2026-09-22T18:22:48.671Z,10vu,scw-invoicerr-loadtest-12c-load-0d71ca088f864e,6359,2876
2026-09-22T18:23:04.126Z,10vu,scw-invoicerr-loadtest-12c-load-0d71ca088f864e,6249,2887
2026-09-22T18:23:24.003Z,10vu,scw-invoicerr-loadtest-12c-load-0d71ca088f864e,6088,2906
2026-09-22T18:23:39.427Z,10vu,scw-invoicerr-loadtest-12c-load-0d71ca088f864e,6185,2919
2026-09-22T18:23:54.814Z,10vu,scw-invoicerr-loadtest-12c-load-0d71ca088f864e,6467,2900
2026-09-22T18:24:10.218Z,10vu,scw-invoicerr-loadtest-12c-load-0d71ca088f864e,5922,2822
2026-09-22T18:24:25.622Z,10vu,scw-invoicerr-loadtest-12c-load-0d71ca088f864e,6130,2905
2026-09-22T18:24:41.034Z,10vu,scw-invoicerr-loadtest-12c-load-0d71ca088f864e,6258,2938
2026-09-22T18:24:56.454Z,10vu,scw-invoicerr-loadtest-12c-load-0d71ca088f864e,6492,2928
2026-09-22T18:25:11.827Z,10vu,scw-invoicerr-loadtest-12c-load-0d71ca088f864e,6450,2923
2026-09-22T18:25:27.197Z,10vu,scw-invoicerr-loadtest-12c-load-0d71ca088f864e,5582,2845
2026-09-22T18:25:42.624Z,10vu,scw-invoicerr-loadtest-12c-load-0d71ca088f864e,6299,2915
2026-09-22T18:25:58.111Z,10vu,scw-invoicerr-loadtest-12c-load-0d71ca088f864e,6231,2882
2026-09-22T18:26:13.537Z,50vu,scw-invoicerr-loadtest-12c-load-0d71ca088f864e,6149,2826
2026-09-22T18:26:28.924Z,50vu,scw-invoicerr-loadtest-12c-load-0d71ca088f864e,338,2784
2026-09-22T18:26:44.374Z,50vu,scw-invoicerr-loadtest-12c-load-0d71ca088f864e,6127,2961
2026-09-22T18:26:59.770Z,50vu,scw-invoicerr-loadtest-12c-load-0d71ca088f864e,7911,2934
2026-09-22T18:27:15.205Z,50vu,scw-invoicerr-loadtest-12c-load-0d71ca088f864e,7755,2920
2026-09-22T18:27:30.620Z,50vu,scw-invoicerr-loadtest-12c-load-0d71ca088f864e,7732,2924
2026-09-22T18:27:46.045Z,50vu,scw-invoicerr-loadtest-12c-load-0d71ca088f864e,7491,2884
2026-09-22T18:28:01.464Z,50vu,scw-invoicerr-loadtest-12c-load-0d71ca088f864e,7687,2967
2026-09-22T18:28:16.856Z,50vu,scw-invoicerr-loadtest-12c-load-0d71ca088f864e,7811,2963
2026-09-22T18:28:32.269Z,50vu,scw-invoicerr-loadtest-12c-load-0d71ca088f864e,7871,2935
2026-09-22T18:28:47.687Z,50vu,scw-invoicerr-loadtest-12c-load-0d71ca088f864e,7839,2956
2026-09-22T18:29:03.054Z,50vu,scw-invoicerr-loadtest-12c-load-0d71ca088f864e,7843,2947
2026-09-22T18:29:18.414Z,50vu,scw-invoicerr-loadtest-12c-load-0d71ca088f864e,7871,2936
2026-09-22T18:29:33.864Z,50vu,scw-invoicerr-loadtest-12c-load-0d71ca088f864e,7846,2977
2026-09-22T18:29:49.303Z,50vu,scw-invoicerr-loadtest-12c-load-0d71ca088f864e,7853,2947
2026-09-22T18:30:04.722Z,50vu,scw-invoicerr-loadtest-12c-load-0d71ca088f864e,7833,2964
2026-09-22T18:30:20.207Z,50vu,scw-invoicerr-loadtest-12c-load-0d71ca088f864e,7873,2941
2026-09-22T18:30:35.731Z,50vu,scw-invoicerr-loadtest-12c-load-0d71ca088f864e,7801,2948
2026-09-22T18:30:51.199Z,50vu,scw-invoicerr-loadtest-12c-load-0d71ca088f864e,7838,2929
2026-09-22T18:31:06.601Z,50vu,scw-invoicerr-loadtest-12c-load-0d71ca088f864e,7770,2971
2026-09-22T18:31:21.986Z,50vu,scw-invoicerr-loadtest-12c-load-0d71ca088f864e,7859,3016
