ts,stage,pod,cpu_millicores,mem_mib
2026-09-22T18:21:00.632Z,10vu,lt-invoicerr-api-5fbd9fcf59-f9npm,92,507
2026-09-22T18:21:00.632Z,10vu,lt-invoicerr-ocr-67dfc6f76c-d2l64,1,13
2026-09-22T18:21:00.632Z,10vu,lt-invoicerr-postgres-6f67654f68-ww9d2,21,40
2026-09-22T18:21:00.632Z,10vu,lt-invoicerr-redis-64c5d7869-gbdtz,9,12
2026-09-22T18:21:00.632Z,10vu,lt-invoicerr-worker-5b7d867555-5qchg,2,488
2026-09-22T18:21:00.632Z,10vu,lt-invoicerr-worker-5b7d867555-kklwq,2,425
2026-09-22T18:21:00.632Z,10vu,lt-invoicerr-worker-5b7d867555-v5s6w,2,468
2026-09-22T18:21:00.632Z,10vu,mailpit-dd68cc87d-mthbr,0,7
2026-09-22T18:21:16.061Z,10vu,lt-invoicerr-api-5fbd9fcf59-f9npm,30,507
2026-09-22T18:21:16.061Z,10vu,lt-invoicerr-ocr-67dfc6f76c-d2l64,1,13
2026-09-22T18:21:16.061Z,10vu,lt-invoicerr-postgres-6f67654f68-ww9d2,88,75
2026-09-22T18:21:16.061Z,10vu,lt-invoicerr-redis-64c5d7869-gbdtz,8,12
2026-09-22T18:21:16.061Z,10vu,lt-invoicerr-worker-5b7d867555-5qchg,2,488
2026-09-22T18:21:16.061Z,10vu,lt-invoicerr-worker-5b7d867555-kklwq,2,425
2026-09-22T18:21:16.061Z,10vu,lt-invoicerr-worker-5b7d867555-v5s6w,119,485
2026-09-22T18:21:16.061Z,10vu,mailpit-dd68cc87d-mthbr,0,7
2026-09-22T18:21:31.466Z,10vu,lt-invoicerr-api-5fbd9fcf59-f9npm,2540,672
2026-09-22T18:21:31.466Z,10vu,lt-invoicerr-ocr-67dfc6f76c-d2l64,1,13
2026-09-22T18:21:31.466Z,10vu,lt-invoicerr-postgres-6f67654f68-ww9d2,88,75
2026-09-22T18:21:31.466Z,10vu,lt-invoicerr-redis-64c5d7869-gbdtz,25,12
2026-09-22T18:21:31.466Z,10vu,lt-invoicerr-worker-5b7d867555-5qchg,847,509
2026-09-22T18:21:31.466Z,10vu,lt-invoicerr-worker-5b7d867555-kklwq,698,455
2026-09-22T18:21:31.466Z,10vu,lt-invoicerr-worker-5b7d867555-v5s6w,864,495
2026-09-22T18:21:31.466Z,10vu,mailpit-dd68cc87d-mthbr,23,57
2026-09-22T18:21:46.907Z,10vu,lt-invoicerr-api-5fbd9fcf59-f9npm,3219,578
2026-09-22T18:21:46.907Z,10vu,lt-invoicerr-ocr-67dfc6f76c-d2l64,1,13
2026-09-22T18:21:46.907Z,10vu,lt-invoicerr-postgres-6f67654f68-ww9d2,338,69
2026-09-22T18:21:46.907Z,10vu,lt-invoicerr-redis-64c5d7869-gbdtz,32,12
2026-09-22T18:21:46.907Z,10vu,lt-invoicerr-worker-5b7d867555-5qchg,965,545
2026-09-22T18:21:46.907Z,10vu,lt-invoicerr-worker-5b7d867555-kklwq,930,460
2026-09-22T18:21:46.907Z,10vu,lt-invoicerr-worker-5b7d867555-v5s6w,923,501
2026-09-22T18:21:46.907Z,10vu,mailpit-dd68cc87d-mthbr,30,113
2026-09-22T18:22:02.338Z,10vu,lt-invoicerr-api-5fbd9fcf59-f9npm,3164,599
2026-09-22T18:22:02.338Z,10vu,lt-invoicerr-ocr-67dfc6f76c-d2l64,1,13
2026-09-22T18:22:02.338Z,10vu,lt-invoicerr-postgres-6f67654f68-ww9d2,352,72
2026-09-22T18:22:02.338Z,10vu,lt-invoicerr-redis-64c5d7869-gbdtz,30,12
2026-09-22T18:22:02.338Z,10vu,lt-invoicerr-worker-5b7d867555-5qchg,965,545
2026-09-22T18:22:02.338Z,10vu,lt-invoicerr-worker-5b7d867555-kklwq,895,464
2026-09-22T18:22:02.338Z,10vu,lt-invoicerr-worker-5b7d867555-v5s6w,902,535
2026-09-22T18:22:02.338Z,10vu,mailpit-dd68cc87d-mthbr,27,114
2026-09-22T18:22:17.747Z,10vu,lt-invoicerr-api-5fbd9fcf59-f9npm,3207,581
2026-09-22T18:22:17.747Z,10vu,lt-invoicerr-ocr-67dfc6f76c-d2l64,1,13
2026-09-22T18:22:17.747Z,10vu,lt-invoicerr-postgres-6f67654f68-ww9d2,346,71
2026-09-22T18:22:17.747Z,10vu,lt-invoicerr-redis-64c5d7869-gbdtz,31,12
2026-09-22T18:22:17.747Z,10vu,lt-invoicerr-worker-5b7d867555-5qchg,915,520
2026-09-22T18:22:17.747Z,10vu,lt-invoicerr-worker-5b7d867555-kklwq,868,467
2026-09-22T18:22:17.747Z,10vu,lt-invoicerr-worker-5b7d867555-v5s6w,919,504
2026-09-22T18:22:17.747Z,10vu,mailpit-dd68cc87d-mthbr,29,116
2026-09-22T18:22:33.204Z,10vu,lt-invoicerr-api-5fbd9fcf59-f9npm,3134,614
2026-09-22T18:22:33.204Z,10vu,lt-invoicerr-ocr-67dfc6f76c-d2l64,1,13
