ts,stage,wait,active,delayed,prioritized,failed,pg_connections
2026-09-22T18:21:00.632Z,10vu,0,0,8,0,0,14
2026-09-22T18:21:16.061Z,10vu,0,1,8,0,0,16
2026-09-22T18:21:31.466Z,10vu,0,1,8,0,0,16
2026-09-22T18:21:46.907Z,10vu,0,1,8,0,0,16
2026-09-22T18:22:02.338Z,10vu,0,0,8,0,0,16
2026-09-22T18:22:17.747Z,10vu,0,2,8,0,0,16
2026-09-22T18:22:33.204Z,10vu,0,3,8,0,0,15
2026-09-22T18:22:48.671Z,10vu,0,3,8,0,0,16
2026-09-22T18:23:04.126Z,10vu,0,0,8,0,0,16
2026-09-22T18:23:24.003Z,10vu,1,3,8,0,0,16
2026-09-22T18:23:39.427Z,10vu,0,0,8,0,0,16
2026-09-22T18:23:54.814Z,10vu,0,0,8,0,0,16
2026-09-22T18:24:10.218Z,10vu,0,3,8,0,0,16
2026-09-22T18:24:25.622Z,10vu,0,1,8,0,0,16
2026-09-22T18:24:41.034Z,10vu,0,2,8,0,0,16
2026-09-22T18:24:56.454Z,10vu,0,0,8,0,0,16
2026-09-22T18:25:11.827Z,10vu,0,0,8,0,0,17
2026-09-22T18:25:27.197Z,10vu,0,1,8,0,0,16
2026-09-22T18:25:42.624Z,10vu,1,3,8,0,0,16
2026-09-22T18:25:58.111Z,10vu,0,2,8,0,0,16
2026-09-22T18:26:13.537Z,50vu,0,0,8,0,0,12
2026-09-22T18:26:28.924Z,50vu,0,2,8,0,0,18
2026-09-22T18:26:44.374Z,50vu,0,2,8,0,0,16
2026-09-22T18:26:59.770Z,50vu,0,2,8,0,0,16
2026-09-22T18:27:15.205Z,50vu,0,2,8,0,0,17
2026-09-22T18:27:30.620Z,50vu,0,1,8,0,0,19
2026-09-22T18:27:46.045Z,50vu,1,3,8,0,0,17
2026-09-22T18:28:01.464Z,50vu,0,3,8,0,0,16
2026-09-22T18:28:16.856Z,50vu,0,2,8,0,0,17
2026-09-22T18:28:32.269Z,50vu,0,2,8,0,0,17
2026-09-22T18:28:47.687Z,50vu,0,1,8,0,0,16
2026-09-22T18:29:03.054Z,50vu,0,2,8,0,0,16
2026-09-22T18:29:18.414Z,50vu,0,2,8,0,0,16
2026-09-22T18:29:33.864Z,50vu,0,2,8,0,0,16
2026-09-22T18:29:49.303Z,50vu,0,1,8,0,0,15
2026-09-22T18:30:04.722Z,50vu,0,2,8,0,0,17
2026-09-22T18:30:20.207Z,50vu,0,2,8,0,0,18
2026-09-22T18:30:35.731Z,50vu,0,2,8,0,0,18
2026-09-22T18:30:51.199Z,50vu,0,3,8,0,0,18
2026-09-22T18:31:06.601Z,50vu,0,2,8,0,0,16
2026-09-22T18:31:21.986Z,50vu,0,0,8,0,0,15
