ts,stage,node,cpu_millicores,mem_mib
2026-09-22T18:54:25.779Z,1vu,scw-invoicerr-loadtest-load-02566853026d499b82,308,2519
2026-09-22T18:54:41.181Z,1vu,scw-invoicerr-loadtest-load-02566853026d499b82,583,2560
2026-09-22T18:54:56.575Z,1vu,scw-invoicerr-loadtest-load-02566853026d499b82,1478,2573
2026-09-22T18:55:11.999Z,1vu,scw-invoicerr-loadtest-load-02566853026d499b82,1462,2598
2026-09-22T18:55:27.384Z,1vu,scw-invoicerr-loadtest-load-02566853026d499b82,1440,2619
2026-09-22T18:55:42.746Z,1vu,scw-invoicerr-loadtest-load-02566853026d499b82,1461,2759
2026-09-22T18:55:58.158Z,1vu,scw-invoicerr-loadtest-load-02566853026d499b82,1467,2645
2026-09-22T18:56:13.562Z,1vu,scw-invoicerr-loadtest-load-02566853026d499b82,1457,2646
2026-09-22T18:56:28.975Z,1vu,scw-invoicerr-loadtest-load-02566853026d499b82,1377,2868
2026-09-22T18:56:44.377Z,1vu,scw-invoicerr-loadtest-load-02566853026d499b82,1453,2660
2026-09-22T18:56:59.795Z,1vu,scw-invoicerr-loadtest-load-02566853026d499b82,1385,2665
2026-09-22T18:57:15.219Z,1vu,scw-invoicerr-loadtest-load-02566853026d499b82,1405,2715
2026-09-22T18:57:30.664Z,1vu,scw-invoicerr-loadtest-load-02566853026d499b82,1464,2698
2026-09-22T18:57:46.079Z,1vu,scw-invoicerr-loadtest-load-02566853026d499b82,1374,2665
2026-09-22T18:58:01.467Z,1vu,scw-invoicerr-loadtest-load-02566853026d499b82,1475,2751
2026-09-22T18:58:16.864Z,1vu,scw-invoicerr-loadtest-load-02566853026d499b82,1416,2692
2026-09-22T18:58:32.284Z,1vu,scw-invoicerr-loadtest-load-02566853026d499b82,1362,2690
2026-09-22T18:58:47.716Z,1vu,scw-invoicerr-loadtest-load-02566853026d499b82,1399,2726
2026-09-22T18:59:03.144Z,1vu,scw-invoicerr-loadtest-load-02566853026d499b82,1434,2911
2026-09-22T18:59:18.577Z,1vu,scw-invoicerr-loadtest-load-02566853026d499b82,1505,2708
2026-09-22T18:59:33.967Z,2vu,scw-invoicerr-loadtest-load-02566853026d499b82,1326,2703
2026-09-22T18:59:49.374Z,2vu,scw-invoicerr-loadtest-load-02566853026d499b82,1626,2761
2026-09-22T19:00:04.810Z,2vu,scw-invoicerr-loadtest-load-02566853026d499b82,2101,2751
2026-09-22T19:00:20.197Z,2vu,scw-invoicerr-loadtest-load-02566853026d499b82,2234,2803
2026-09-22T19:00:35.660Z,2vu,scw-invoicerr-loadtest-load-02566853026d499b82,2348,2852
2026-09-22T19:00:51.138Z,2vu,scw-invoicerr-loadtest-load-02566853026d499b82,2103,2793
2026-09-22T19:01:06.610Z,2vu,scw-invoicerr-loadtest-load-02566853026d499b82,2244,2774
2026-09-22T19:01:22.064Z,2vu,scw-invoicerr-loadtest-load-02566853026d499b82,2418,2874
2026-09-22T19:01:37.480Z,2vu,scw-invoicerr-loadtest-load-02566853026d499b82,2100,2783
2026-09-22T19:01:52.894Z,2vu,scw-invoicerr-loadtest-load-02566853026d499b82,2339,2775
2026-09-22T19:02:08.294Z,2vu,scw-invoicerr-loadtest-load-02566853026d499b82,2287,3007
2026-09-22T19:02:23.678Z,2vu,scw-invoicerr-loadtest-load-02566853026d499b82,2306,2837
2026-09-22T19:02:39.116Z,2vu,scw-invoicerr-loadtest-load-02566853026d499b82,2304,3009
2026-09-22T19:02:54.552Z,2vu,scw-invoicerr-loadtest-load-02566853026d499b82,2159,3027
2026-09-22T19:03:10.000Z,2vu,scw-invoicerr-loadtest-load-02566853026d499b82,2281,2797
2026-09-22T19:03:25.454Z,2vu,scw-invoicerr-loadtest-load-02566853026d499b82,2321,2915
2026-09-22T19:03:40.881Z,2vu,scw-invoicerr-loadtest-load-02566853026d499b82,2112,2941
2026-09-22T19:03:56.298Z,2vu,scw-invoicerr-loadtest-load-02566853026d499b82,2335,2833
2026-09-22T19:04:11.729Z,2vu,scw-invoicerr-loadtest-load-02566853026d499b82,2231,2900
2026-09-22T19:04:27.170Z,2vu,scw-invoicerr-loadtest-load-02566853026d499b82,2459,2817
2026-09-22T19:04:42.604Z,10vu,scw-invoicerr-loadtest-load-02566853026d499b82,2466,2800
2026-09-22T19:04:57.989Z,10vu,scw-invoicerr-loadtest-load-02566853026d499b82,1704,2784
2026-09-22T19:05:13.402Z,10vu,scw-invoicerr-loadtest-load-02566853026d499b82,4784,2935
2026-09-22T19:05:28.888Z,10vu,scw-invoicerr-loadtest-load-02566853026d499b82,3241,3041
