ts,stage,pod,cpu_millicores,mem_mib
2026-09-22T18:54:25.779Z,1vu,lt-invoicerr-api-65d76d54df-tvbrs,29,534
2026-09-22T18:54:25.779Z,1vu,lt-invoicerr-ocr-67dfc6f76c-bncp6,1,14
2026-09-22T18:54:25.779Z,1vu,lt-invoicerr-postgres-6f67654f68-wgbtw,26,44
2026-09-22T18:54:25.779Z,1vu,lt-invoicerr-redis-64c5d7869-f7fhz,9,10
2026-09-22T18:54:25.779Z,1vu,lt-invoicerr-worker-6d7f4b65-hk6sh,4,483
2026-09-22T18:54:25.779Z,1vu,lt-invoicerr-worker-6d7f4b65-snwhl,3,477
2026-09-22T18:54:25.779Z,1vu,lt-invoicerr-worker-6d7f4b65-zbwkh,6,434
2026-09-22T18:54:25.779Z,1vu,mailpit-dd68cc87d-k4fq6,0,7
2026-09-22T18:54:41.181Z,1vu,lt-invoicerr-api-65d76d54df-tvbrs,48,534
2026-09-22T18:54:41.181Z,1vu,lt-invoicerr-ocr-67dfc6f76c-bncp6,1,14
2026-09-22T18:54:41.181Z,1vu,lt-invoicerr-postgres-6f67654f68-wgbtw,39,54
2026-09-22T18:54:41.181Z,1vu,lt-invoicerr-redis-64c5d7869-f7fhz,14,10
2026-09-22T18:54:41.181Z,1vu,lt-invoicerr-worker-6d7f4b65-hk6sh,148,486
2026-09-22T18:54:41.181Z,1vu,lt-invoicerr-worker-6d7f4b65-snwhl,2,477
2026-09-22T18:54:41.181Z,1vu,lt-invoicerr-worker-6d7f4b65-zbwkh,6,434
2026-09-22T18:54:41.181Z,1vu,mailpit-dd68cc87d-k4fq6,1,7
2026-09-22T18:54:56.575Z,1vu,lt-invoicerr-api-65d76d54df-tvbrs,438,546
2026-09-22T18:54:56.575Z,1vu,lt-invoicerr-ocr-67dfc6f76c-bncp6,88,92
2026-09-22T18:54:56.575Z,1vu,lt-invoicerr-postgres-6f67654f68-wgbtw,51,51
2026-09-22T18:54:56.575Z,1vu,lt-invoicerr-redis-64c5d7869-f7fhz,16,10
2026-09-22T18:54:56.575Z,1vu,lt-invoicerr-worker-6d7f4b65-hk6sh,216,494
2026-09-22T18:54:56.575Z,1vu,lt-invoicerr-worker-6d7f4b65-snwhl,229,493
2026-09-22T18:54:56.575Z,1vu,lt-invoicerr-worker-6d7f4b65-zbwkh,4,434
2026-09-22T18:54:56.575Z,1vu,mailpit-dd68cc87d-k4fq6,7,11
2026-09-22T18:55:11.999Z,1vu,lt-invoicerr-api-65d76d54df-tvbrs,407,547
2026-09-22T18:55:11.999Z,1vu,lt-invoicerr-ocr-67dfc6f76c-bncp6,364,17
2026-09-22T18:55:11.999Z,1vu,lt-invoicerr-postgres-6f67654f68-wgbtw,53,51
2026-09-22T18:55:11.999Z,1vu,lt-invoicerr-redis-64c5d7869-f7fhz,16,10
2026-09-22T18:55:11.999Z,1vu,lt-invoicerr-worker-6d7f4b65-hk6sh,99,490
2026-09-22T18:55:11.999Z,1vu,lt-invoicerr-worker-6d7f4b65-snwhl,214,509
2026-09-22T18:55:11.999Z,1vu,lt-invoicerr-worker-6d7f4b65-zbwkh,3,434
2026-09-22T18:55:11.999Z,1vu,mailpit-dd68cc87d-k4fq6,5,15
2026-09-22T18:55:27.384Z,1vu,lt-invoicerr-api-65d76d54df-tvbrs,507,549
2026-09-22T18:55:27.384Z,1vu,lt-invoicerr-ocr-67dfc6f76c-bncp6,453,17
2026-09-22T18:55:27.384Z,1vu,lt-invoicerr-postgres-6f67654f68-wgbtw,61,53
2026-09-22T18:55:27.384Z,1vu,lt-invoicerr-redis-64c5d7869-f7fhz,15,10
2026-09-22T18:55:27.384Z,1vu,lt-invoicerr-worker-6d7f4b65-hk6sh,118,491
2026-09-22T18:55:27.384Z,1vu,lt-invoicerr-worker-6d7f4b65-snwhl,218,512
2026-09-22T18:55:27.384Z,1vu,lt-invoicerr-worker-6d7f4b65-zbwkh,92,446
2026-09-22T18:55:27.384Z,1vu,mailpit-dd68cc87d-k4fq6,4,20
2026-09-22T18:55:42.746Z,1vu,lt-invoicerr-api-65d76d54df-tvbrs,346,545
2026-09-22T18:55:42.746Z,1vu,lt-invoicerr-ocr-67dfc6f76c-bncp6,317,17
2026-09-22T18:55:42.746Z,1vu,lt-invoicerr-postgres-6f67654f68-wgbtw,51,52
2026-09-22T18:55:42.746Z,1vu,lt-invoicerr-redis-64c5d7869-f7fhz,14,10
2026-09-22T18:55:42.746Z,1vu,lt-invoicerr-worker-6d7f4b65-hk6sh,21,496
2026-09-22T18:55:42.746Z,1vu,lt-invoicerr-worker-6d7f4b65-snwhl,199,513
2026-09-22T18:55:42.746Z,1vu,lt-invoicerr-worker-6d7f4b65-zbwkh,223,452
2026-09-22T18:55:42.746Z,1vu,mailpit-dd68cc87d-k4fq6,5,29
2026-09-22T18:55:58.158Z,1vu,lt-invoicerr-api-65d76d54df-tvbrs,459,545
2026-09-22T18:55:58.158Z,1vu,lt-invoicerr-ocr-67dfc6f76c-bncp6,368,17
2026-09-22T18:55:58.158Z,1vu,lt-invoicerr-postgres-6f67654f68-wgbtw,62,52
2026-09-22T18:55:58.158Z,1vu,lt-invoicerr-redis-64c5d7869-f7fhz,19,10
2026-09-22T18:55:58.158Z,1vu,lt-invoicerr-worker-6d7f4b65-hk6sh,8,496
2026-09-22T18:55:58.158Z,1vu,lt-invoicerr-worker-6d7f4b65-snwhl,185,515
2026-09-22T18:55:58.158Z,1vu,lt-invoicerr-worker-6d7f4b65-zbwkh,169,450
2026-09-22T18:55:58.158Z,1vu,mailpit-dd68cc87d-k4fq6,4,33
2026-09-22T18:56:13.562Z,1vu,lt-invoicerr-api-65d76d54df-tvbrs,490,540
2026-09-22T18:56:13.562Z,1vu,lt-invoicerr-ocr-67dfc6f76c-bncp6,254,17
2026-09-22T18:56:13.562Z,1vu,lt-invoicerr-postgres-6f67654f68-wgbtw,59,52
