ts,stage,wait,active,delayed,prioritized,failed,pg_connections
2026-09-22T18:54:25.779Z,1vu,0,0,8,0,0,4
2026-09-22T18:54:41.181Z,1vu,0,0,8,0,0,8
2026-09-22T18:54:56.575Z,1vu,0,0,8,0,0,8
2026-09-22T18:55:11.999Z,1vu,0,1,8,0,0,9
2026-09-22T18:55:27.384Z,1vu,0,0,8,0,0,9
2026-09-22T18:55:42.746Z,1vu,0,0,8,0,0,8
2026-09-22T18:55:58.158Z,1vu,0,0,8,0,0,9
2026-09-22T18:56:13.562Z,1vu,0,1,8,0,0,8
2026-09-22T18:56:28.975Z,1vu,0,0,8,0,0,8
2026-09-22T18:56:44.377Z,1vu,0,0,8,0,0,8
2026-09-22T18:56:59.795Z,1vu,0,0,8,0,0,9
2026-09-22T18:57:15.219Z,1vu,0,0,8,0,0,8
2026-09-22T18:57:30.664Z,1vu,0,1,8,0,0,8
2026-09-22T18:57:46.079Z,1vu,0,0,8,0,0,8
2026-09-22T18:58:01.467Z,1vu,0,0,8,0,0,9
2026-09-22T18:58:16.864Z,1vu,0,0,8,0,0,9
2026-09-22T18:58:32.284Z,1vu,0,0,8,0,0,8
2026-09-22T18:58:47.716Z,1vu,0,0,8,0,0,8
2026-09-22T18:59:03.144Z,1vu,0,1,8,0,0,10
2026-09-22T18:59:18.577Z,1vu,0,0,8,0,0,9
2026-09-22T18:59:33.967Z,2vu,0,0,8,0,0,8
2026-09-22T18:59:49.374Z,2vu,0,0,8,0,0,13
2026-09-22T19:00:04.810Z,2vu,0,0,8,0,0,12
2026-09-22T19:00:20.197Z,2vu,0,0,8,0,0,12
2026-09-22T19:00:35.660Z,2vu,0,0,8,0,0,13
2026-09-22T19:00:51.138Z,2vu,0,0,8,0,0,13
2026-09-22T19:01:06.610Z,2vu,0,1,8,0,0,13
2026-09-22T19:01:22.064Z,2vu,0,0,8,0,0,13
2026-09-22T19:01:37.480Z,2vu,0,0,8,0,0,13
2026-09-22T19:01:52.894Z,2vu,0,0,8,0,0,11
2026-09-22T19:02:08.294Z,2vu,0,0,8,0,0,11
2026-09-22T19:02:23.678Z,2vu,0,0,8,0,0,13
2026-09-22T19:02:39.116Z,2vu,0,0,8,0,0,13
2026-09-22T19:02:54.552Z,2vu,0,0,8,0,0,13
2026-09-22T19:03:10.000Z,2vu,0,0,8,0,0,13
2026-09-22T19:03:25.454Z,2vu,0,1,8,0,0,13
2026-09-22T19:03:40.881Z,2vu,0,0,8,0,0,12
2026-09-22T19:03:56.298Z,2vu,0,1,8,0,0,10
2026-09-22T19:04:11.729Z,2vu,0,0,8,0,0,10
2026-09-22T19:04:27.170Z,2vu,0,1,8,0,0,10
2026-09-22T19:04:42.604Z,10vu,0,0,8,0,0,18
2026-09-22T19:04:57.989Z,10vu,0,0,8,0,0,16
2026-09-22T19:05:13.402Z,10vu,0,0,8,0,0,13
2026-09-22T19:05:28.888Z,10vu,0,0,8,0,0,13
2026-09-22T19:05:44.340Z,10vu,0,0,8,0,0,14
2026-09-22T19:05:59.703Z,10vu,0,3,8,0,0,14
2026-09-22T19:06:15.042Z,10vu,0,0,8,0,0,14
2026-09-22T19:06:30.435Z,10vu,0,0,8,0,0,14
