ts,stage,node,cpu_millicores,mem_mib
2026-09-22T19:25:09.707Z,50vu,scw-invoicerr-loadtest-load-02566853026d499b82,286,3642
2026-09-22T19:25:25.388Z,50vu,scw-invoicerr-loadtest-load-02566853026d499b82,291,3651
2026-09-22T19:25:41.179Z,50vu,scw-invoicerr-loadtest-load-02566853026d499b82,5608,4008
2026-09-22T19:25:56.957Z,50vu,scw-invoicerr-loadtest-load-02566853026d499b82,5242,4017
2026-09-22T19:26:12.555Z,50vu,scw-invoicerr-loadtest-load-02566853026d499b82,5683,4013
2026-09-22T19:26:28.204Z,50vu,scw-invoicerr-loadtest-load-02566853026d499b82,5515,4142
2026-09-22T19:26:43.851Z,50vu,scw-invoicerr-loadtest-load-02566853026d499b82,5811,4031
2026-09-22T19:26:59.403Z,50vu,scw-invoicerr-loadtest-load-02566853026d499b82,5830,4088
2026-09-22T19:27:14.889Z,50vu,scw-invoicerr-loadtest-load-02566853026d499b82,5622,4083
2026-09-22T19:27:30.457Z,50vu,scw-invoicerr-loadtest-load-02566853026d499b82,5389,4074
2026-09-22T19:27:46.004Z,50vu,scw-invoicerr-loadtest-load-02566853026d499b82,5760,4048
2026-09-22T19:28:01.612Z,50vu,scw-invoicerr-loadtest-load-02566853026d499b82,5777,4039
2026-09-22T19:28:17.230Z,50vu,scw-invoicerr-loadtest-load-02566853026d499b82,5786,4078
2026-09-22T19:28:32.861Z,50vu,scw-invoicerr-loadtest-load-02566853026d499b82,5782,3997
2026-09-22T19:28:48.590Z,50vu,scw-invoicerr-loadtest-load-02566853026d499b82,5777,4050
2026-09-22T19:29:04.392Z,50vu,scw-invoicerr-loadtest-load-02566853026d499b82,5550,4075
2026-09-22T19:29:19.920Z,50vu,scw-invoicerr-loadtest-load-02566853026d499b82,5838,4134
2026-09-22T19:29:35.534Z,50vu,scw-invoicerr-loadtest-load-02566853026d499b82,5830,4067
2026-09-22T19:29:50.915Z,50vu,scw-invoicerr-loadtest-load-02566853026d499b82,5656,4132
2026-09-22T19:30:06.483Z,50vu,scw-invoicerr-loadtest-load-02566853026d499b82,5804,4113
