ts,stage,pod,cpu_millicores,mem_mib
2026-09-22T19:25:09.707Z,50vu,lt-invoicerr-api-65d76d54df-pqlbc,2,466
2026-09-22T19:25:09.707Z,50vu,lt-invoicerr-api-65d76d54df-tvbrs,20,568
2026-09-22T19:25:09.707Z,50vu,lt-invoicerr-api-65d76d54df-xptrq,22,511
2026-09-22T19:25:09.707Z,50vu,lt-invoicerr-ocr-67dfc6f76c-bncp6,1,19
2026-09-22T19:25:09.707Z,50vu,lt-invoicerr-postgres-6f67654f68-wgbtw,25,56
2026-09-22T19:25:09.707Z,50vu,lt-invoicerr-redis-64c5d7869-f7fhz,10,13
2026-09-22T19:25:09.707Z,50vu,lt-invoicerr-worker-6d7f4b65-hk6sh,3,542
2026-09-22T19:25:09.707Z,50vu,lt-invoicerr-worker-6d7f4b65-snwhl,2,533
2026-09-22T19:25:09.707Z,50vu,lt-invoicerr-worker-6d7f4b65-zbwkh,2,477
2026-09-22T19:25:09.707Z,50vu,mailpit-dd68cc87d-k4fq6,0,29
2026-09-22T19:25:25.388Z,50vu,lt-invoicerr-api-65d76d54df-pqlbc,290,560
2026-09-22T19:25:25.388Z,50vu,lt-invoicerr-api-65d76d54df-tvbrs,34,569
2026-09-22T19:25:25.388Z,50vu,lt-invoicerr-api-65d76d54df-xptrq,498,579
2026-09-22T19:25:25.388Z,50vu,lt-invoicerr-ocr-67dfc6f76c-bncp6,1,19
2026-09-22T19:25:25.388Z,50vu,lt-invoicerr-postgres-6f67654f68-wgbtw,25,53
2026-09-22T19:25:25.388Z,50vu,lt-invoicerr-redis-64c5d7869-f7fhz,10,13
2026-09-22T19:25:25.388Z,50vu,lt-invoicerr-worker-6d7f4b65-hk6sh,3,542
2026-09-22T19:25:25.388Z,50vu,lt-invoicerr-worker-6d7f4b65-snwhl,3,533
2026-09-22T19:25:25.388Z,50vu,lt-invoicerr-worker-6d7f4b65-zbwkh,31,481
2026-09-22T19:25:25.388Z,50vu,mailpit-dd68cc87d-k4fq6,0,29
2026-09-22T19:25:41.179Z,50vu,lt-invoicerr-api-65d76d54df-pqlbc,1224,536
2026-09-22T19:25:41.179Z,50vu,lt-invoicerr-api-65d76d54df-tvbrs,743,599
2026-09-22T19:25:41.179Z,50vu,lt-invoicerr-api-65d76d54df-xptrq,498,579
2026-09-22T19:25:41.179Z,50vu,lt-invoicerr-ocr-67dfc6f76c-bncp6,1,19
2026-09-22T19:25:41.179Z,50vu,lt-invoicerr-postgres-6f67654f68-wgbtw,203,152
2026-09-22T19:25:41.179Z,50vu,lt-invoicerr-redis-64c5d7869-f7fhz,17,13
2026-09-22T19:25:41.179Z,50vu,lt-invoicerr-worker-6d7f4b65-hk6sh,147,546
2026-09-22T19:25:41.179Z,50vu,lt-invoicerr-worker-6d7f4b65-snwhl,393,537
2026-09-22T19:25:41.179Z,50vu,lt-invoicerr-worker-6d7f4b65-zbwkh,647,482
2026-09-22T19:25:41.179Z,50vu,mailpit-dd68cc87d-k4fq6,3,35
2026-09-22T19:25:56.957Z,50vu,lt-invoicerr-api-65d76d54df-pqlbc,1224,536
2026-09-22T19:25:56.957Z,50vu,lt-invoicerr-api-65d76d54df-tvbrs,666,625
2026-09-22T19:25:56.957Z,50vu,lt-invoicerr-api-65d76d54df-xptrq,1208,585
2026-09-22T19:25:56.957Z,50vu,lt-invoicerr-ocr-67dfc6f76c-bncp6,1,19
2026-09-22T19:25:56.957Z,50vu,lt-invoicerr-postgres-6f67654f68-wgbtw,306,129
2026-09-22T19:25:56.957Z,50vu,lt-invoicerr-redis-64c5d7869-f7fhz,27,13
2026-09-22T19:25:56.957Z,50vu,lt-invoicerr-worker-6d7f4b65-hk6sh,704,574
2026-09-22T19:25:56.957Z,50vu,lt-invoicerr-worker-6d7f4b65-snwhl,636,580
2026-09-22T19:25:56.957Z,50vu,lt-invoicerr-worker-6d7f4b65-zbwkh,642,483
2026-09-22T19:25:56.957Z,50vu,mailpit-dd68cc87d-k4fq6,22,78
2026-09-22T19:26:12.555Z,50vu,lt-invoicerr-api-65d76d54df-pqlbc,1018,628
2026-09-22T19:26:12.555Z,50vu,lt-invoicerr-api-65d76d54df-tvbrs,718,636
2026-09-22T19:26:12.555Z,50vu,lt-invoicerr-api-65d76d54df-xptrq,1208,585
2026-09-22T19:26:12.555Z,50vu,lt-invoicerr-ocr-67dfc6f76c-bncp6,1,19
2026-09-22T19:26:12.555Z,50vu,lt-invoicerr-postgres-6f67654f68-wgbtw,320,126
2026-09-22T19:26:12.555Z,50vu,lt-invoicerr-redis-64c5d7869-f7fhz,28,14
2026-09-22T19:26:12.555Z,50vu,lt-invoicerr-worker-6d7f4b65-hk6sh,739,547
