ts,stage,wait,active,delayed,prioritized,failed,pg_connections
2026-09-22T19:25:09.707Z,50vu,0,0,8,0,0,43
2026-09-22T19:25:25.388Z,50vu,37,3,8,0,0,40
2026-09-22T19:25:41.179Z,50vu,35,3,8,0,0,41
2026-09-22T19:25:56.957Z,50vu,38,3,8,0,0,37
2026-09-22T19:26:12.555Z,50vu,37,3,8,0,0,39
2026-09-22T19:26:28.204Z,50vu,36,3,8,0,0,42
2026-09-22T19:26:43.851Z,50vu,39,3,8,0,0,39
2026-09-22T19:26:59.403Z,50vu,40,3,8,0,0,39
2026-09-22T19:27:14.889Z,50vu,38,3,8,0,0,39
2026-09-22T19:27:30.457Z,50vu,35,3,8,0,0,39
2026-09-22T19:27:46.004Z,50vu,39,3,8,0,0,40
2026-09-22T19:28:01.612Z,50vu,39,3,6,0,0,37
2026-09-22T19:28:17.230Z,50vu,40,3,8,0,0,37
2026-09-22T19:28:32.861Z,50vu,35,3,8,0,0,43
2026-09-22T19:28:48.590Z,50vu,35,3,8,0,0,39
2026-09-22T19:29:04.392Z,50vu,40,3,6,0,0,43
2026-09-22T19:29:19.920Z,50vu,38,3,8,0,0,40
2026-09-22T19:29:35.534Z,50vu,40,3,8,0,0,40
2026-09-22T19:29:50.915Z,50vu,38,3,8,0,0,40
2026-09-22T19:30:06.483Z,50vu,42,3,4,0,0,37
