ts,stage,node,cpu_millicores,mem_mib
2026-09-22T19:59:40.039Z,50vu,scw-lt-campaign-load-1959c45beecd4fa4973379e9b,269,3924
2026-09-22T19:59:55.817Z,50vu,scw-lt-campaign-load-1959c45beecd4fa4973379e9b,2152,4269
2026-09-22T20:00:11.613Z,50vu,scw-lt-campaign-load-1959c45beecd4fa4973379e9b,5639,4378
2026-09-22T20:00:27.230Z,50vu,scw-lt-campaign-load-1959c45beecd4fa4973379e9b,5555,4410
2026-09-22T20:00:42.927Z,50vu,scw-lt-campaign-load-1959c45beecd4fa4973379e9b,5486,4467
2026-09-22T20:00:58.837Z,50vu,scw-lt-campaign-load-1959c45beecd4fa4973379e9b,5613,4627
2026-09-22T20:01:14.333Z,50vu,scw-lt-campaign-load-1959c45beecd4fa4973379e9b,3971,4493
2026-09-22T20:01:29.850Z,50vu,scw-lt-campaign-load-1959c45beecd4fa4973379e9b,3594,4617
2026-09-22T20:01:45.363Z,50vu,scw-lt-campaign-load-1959c45beecd4fa4973379e9b,3737,4520
2026-09-22T20:02:00.813Z,50vu,scw-lt-campaign-load-1959c45beecd4fa4973379e9b,3684,4500
2026-09-22T20:02:16.343Z,50vu,scw-lt-campaign-load-1959c45beecd4fa4973379e9b,3669,4633
2026-09-22T20:02:31.847Z,50vu,scw-lt-campaign-load-1959c45beecd4fa4973379e9b,3818,4478
2026-09-22T20:02:47.317Z,50vu,scw-lt-campaign-load-1959c45beecd4fa4973379e9b,3745,4443
2026-09-22T20:03:02.883Z,50vu,scw-lt-campaign-load-1959c45beecd4fa4973379e9b,3684,4533
2026-09-22T20:03:18.400Z,50vu,scw-lt-campaign-load-1959c45beecd4fa4973379e9b,3616,4526
2026-09-22T20:03:33.917Z,50vu,scw-lt-campaign-load-1959c45beecd4fa4973379e9b,3674,4645
2026-09-22T20:03:49.427Z,50vu,scw-lt-campaign-load-1959c45beecd4fa4973379e9b,3678,4646
2026-09-22T20:04:05.003Z,50vu,scw-lt-campaign-load-1959c45beecd4fa4973379e9b,3531,4462
2026-09-22T20:04:20.570Z,50vu,scw-lt-campaign-load-1959c45beecd4fa4973379e9b,3359,4628
2026-09-22T20:04:36.083Z,50vu,scw-lt-campaign-load-1959c45beecd4fa4973379e9b,3547,4615
2026-09-22T20:04:51.603Z,50vu,scw-lt-campaign-load-1959c45beecd4fa4973379e9b,3679,4660
2026-09-22T20:05:07.053Z,50vu,scw-lt-campaign-load-1959c45beecd4fa4973379e9b,2186,4482
2026-09-22T20:05:23.623Z,50vu,scw-lt-campaign-load-1959c45beecd4fa4973379e9b,1970,4628
2026-09-22T20:05:39.111Z,50vu,scw-lt-campaign-load-1959c45beecd4fa4973379e9b,2094,4412
2026-09-22T20:05:54.567Z,50vu,scw-lt-campaign-load-1959c45beecd4fa4973379e9b,1984,4583
2026-09-22T20:06:10.062Z,50vu,scw-lt-campaign-load-1959c45beecd4fa4973379e9b,2016,4461
2026-09-22T20:06:25.990Z,50vu,scw-lt-campaign-load-1959c45beecd4fa4973379e9b,1978,4387
