ts,stage,pod,cpu_millicores,mem_mib
2026-09-22T19:59:40.039Z,50vu,lt-invoicerr-api-5d467dcf6c-6lwwq,1,489
2026-09-22T19:59:40.039Z,50vu,lt-invoicerr-api-5d467dcf6c-b6cg6,2,528
2026-09-22T19:59:40.039Z,50vu,lt-invoicerr-api-5d467dcf6c-bnzp5,30,541
2026-09-22T19:59:40.039Z,50vu,lt-invoicerr-ocr-67dfc6f76c-8f2s2,1,14
2026-09-22T19:59:40.039Z,50vu,lt-invoicerr-postgres-6f67654f68-cxssq,19,64
2026-09-22T19:59:40.039Z,50vu,lt-invoicerr-redis-64c5d7869-nqj49,9,12
2026-09-22T19:59:40.039Z,50vu,lt-invoicerr-worker-6d7f4b65-g4ch7,2,478
2026-09-22T19:59:40.039Z,50vu,lt-invoicerr-worker-6d7f4b65-kwg46,2,489
2026-09-22T19:59:40.039Z,50vu,lt-invoicerr-worker-6d7f4b65-mgw2w,2,414
2026-09-22T19:59:40.039Z,50vu,mailpit-dd68cc87d-lzmb9,0,13
2026-09-22T19:59:55.817Z,50vu,lt-invoicerr-api-5d467dcf6c-6lwwq,214,514
2026-09-22T19:59:55.817Z,50vu,lt-invoicerr-api-5d467dcf6c-b6cg6,2,528
2026-09-22T19:59:55.817Z,50vu,lt-invoicerr-api-5d467dcf6c-bnzp5,1020,645
2026-09-22T19:59:55.817Z,50vu,lt-invoicerr-ocr-67dfc6f76c-8f2s2,1,14
2026-09-22T19:59:55.817Z,50vu,lt-invoicerr-postgres-6f67654f68-cxssq,150,156
2026-09-22T19:59:55.817Z,50vu,lt-invoicerr-redis-64c5d7869-nqj49,22,12
2026-09-22T19:59:55.817Z,50vu,lt-invoicerr-worker-6d7f4b65-g4ch7,67,502
2026-09-22T19:59:55.817Z,50vu,lt-invoicerr-worker-6d7f4b65-kwg46,2,489
2026-09-22T19:59:55.817Z,50vu,lt-invoicerr-worker-6d7f4b65-mgw2w,14,416
2026-09-22T19:59:55.817Z,50vu,mailpit-dd68cc87d-lzmb9,0,13
2026-09-22T20:00:11.613Z,50vu,lt-invoicerr-api-5d467dcf6c-6lwwq,1193,576
2026-09-22T20:00:11.613Z,50vu,lt-invoicerr-api-5d467dcf6c-b6cg6,894,577
2026-09-22T20:00:11.613Z,50vu,lt-invoicerr-api-5d467dcf6c-bnzp5,988,633
2026-09-22T20:00:11.613Z,50vu,lt-invoicerr-ocr-67dfc6f76c-8f2s2,1,14
2026-09-22T20:00:11.613Z,50vu,lt-invoicerr-postgres-6f67654f68-cxssq,303,145
2026-09-22T20:00:11.613Z,50vu,lt-invoicerr-redis-64c5d7869-nqj49,26,17
2026-09-22T20:00:11.613Z,50vu,lt-invoicerr-worker-6d7f4b65-g4ch7,688,520
2026-09-22T20:00:11.613Z,50vu,lt-invoicerr-worker-6d7f4b65-kwg46,369,517
2026-09-22T20:00:11.613Z,50vu,lt-invoicerr-worker-6d7f4b65-mgw2w,573,467
2026-09-22T20:00:11.613Z,50vu,mailpit-dd68cc87d-lzmb9,8,49
2026-09-22T20:00:27.230Z,50vu,lt-invoicerr-api-5d467dcf6c-6lwwq,1109,564
2026-09-22T20:00:27.230Z,50vu,lt-invoicerr-api-5d467dcf6c-b6cg6,958,578
2026-09-22T20:00:27.230Z,50vu,lt-invoicerr-api-5d467dcf6c-bnzp5,918,563
2026-09-22T20:00:27.230Z,50vu,lt-invoicerr-ocr-67dfc6f76c-8f2s2,1,14
2026-09-22T20:00:27.230Z,50vu,lt-invoicerr-postgres-6f67654f68-cxssq,308,136
2026-09-22T20:00:27.230Z,50vu,lt-invoicerr-redis-64c5d7869-nqj49,31,17
2026-09-22T20:00:27.230Z,50vu,lt-invoicerr-worker-6d7f4b65-g4ch7,738,549
2026-09-22T20:00:27.230Z,50vu,lt-invoicerr-worker-6d7f4b65-kwg46,687,521
2026-09-22T20:00:27.230Z,50vu,lt-invoicerr-worker-6d7f4b65-mgw2w,708,457
2026-09-22T20:00:27.230Z,50vu,mailpit-dd68cc87d-lzmb9,24,80
2026-09-22T20:00:42.927Z,50vu,lt-invoicerr-api-5d467dcf6c-6lwwq,1069,617
