ts,stage,wait,active,delayed,prioritized,failed,pg_connections
2026-09-22T19:59:40.039Z,50vu,0,0,8,0,0,36
2026-09-22T19:59:55.817Z,50vu,40,3,8,0,0,41
2026-09-22T20:00:11.613Z,50vu,38,3,8,0,0,41
2026-09-22T20:00:27.230Z,50vu,40,3,8,0,0,38
2026-09-22T20:00:42.927Z,50vu,33,3,8,0,0,40
2026-09-22T20:00:58.837Z,50vu,0,0,8,0,0,24
2026-09-22T20:01:14.333Z,50vu,0,0,8,0,0,25
2026-09-22T20:01:29.850Z,50vu,0,1,8,0,0,29
2026-09-22T20:01:45.363Z,50vu,0,0,8,0,0,25
2026-09-22T20:02:00.813Z,50vu,0,1,8,0,0,24
2026-09-22T20:02:16.343Z,50vu,0,1,8,0,0,23
2026-09-22T20:02:31.847Z,50vu,0,1,8,0,0,23
2026-09-22T20:02:47.317Z,50vu,0,1,8,0,0,22
2026-09-22T20:03:02.883Z,50vu,0,0,8,0,0,24
2026-09-22T20:03:18.400Z,50vu,0,1,8,0,0,24
2026-09-22T20:03:33.917Z,50vu,0,0,8,0,0,26
2026-09-22T20:03:49.427Z,50vu,0,0,8,0,0,25
2026-09-22T20:04:05.003Z,50vu,0,1,8,0,0,22
2026-09-22T20:04:20.570Z,50vu,0,1,8,0,0,26
2026-09-22T20:04:36.083Z,50vu,0,0,8,0,0,22
2026-09-22T20:04:51.603Z,50vu,0,0,8,0,0,13
2026-09-22T20:05:07.053Z,50vu,0,0,8,0,0,17
2026-09-22T20:05:23.623Z,50vu,0,0,8,0,0,14
2026-09-22T20:05:39.111Z,50vu,0,0,8,0,0,14
2026-09-22T20:05:54.567Z,50vu,0,0,8,0,0,11
2026-09-22T20:06:10.062Z,50vu,0,0,8,0,0,11
2026-09-22T20:06:25.990Z,50vu,0,0,8,0,0,10
