ts,stage,node,cpu_millicores,mem_mib
2026-09-22T20:45:08.039Z,10vu,scw-lt-t2-load-dfb12f9ed04443bd9a5a55de8c2e971,237,3908
2026-09-22T20:45:24.143Z,10vu,scw-lt-t2-load-dfb12f9ed04443bd9a5a55de8c2e971,889,4152
2026-09-22T20:45:40.646Z,10vu,scw-lt-t2-load-dfb12f9ed04443bd9a5a55de8c2e971,1990,4200
2026-09-22T20:45:58.126Z,10vu,scw-lt-t2-load-dfb12f9ed04443bd9a5a55de8c2e971,1990,4220
2026-09-22T20:46:14.038Z,10vu,scw-lt-t2-load-dfb12f9ed04443bd9a5a55de8c2e971,1596,4407
2026-09-22T20:46:29.918Z,10vu,scw-lt-t2-load-dfb12f9ed04443bd9a5a55de8c2e971,1806,4315
2026-09-22T20:46:45.443Z,10vu,scw-lt-t2-load-dfb12f9ed04443bd9a5a55de8c2e971,1774,4206
2026-09-22T20:47:01.553Z,10vu,scw-lt-t2-load-dfb12f9ed04443bd9a5a55de8c2e971,1812,4299
2026-09-22T20:47:17.518Z,10vu,scw-lt-t2-load-dfb12f9ed04443bd9a5a55de8c2e971,1830,4251
2026-09-22T20:47:33.259Z,10vu,scw-lt-t2-load-dfb12f9ed04443bd9a5a55de8c2e971,1809,4262
2026-09-22T20:47:49.130Z,10vu,scw-lt-t2-load-dfb12f9ed04443bd9a5a55de8c2e971,1809,4413
2026-09-22T20:48:05.039Z,10vu,scw-lt-t2-load-dfb12f9ed04443bd9a5a55de8c2e971,1822,4380
2026-09-22T20:48:20.803Z,10vu,scw-lt-t2-load-dfb12f9ed04443bd9a5a55de8c2e971,1804,4327
2026-09-22T20:48:36.426Z,10vu,scw-lt-t2-load-dfb12f9ed04443bd9a5a55de8c2e971,1845,4358
2026-09-22T20:48:52.018Z,10vu,scw-lt-t2-load-dfb12f9ed04443bd9a5a55de8c2e971,1768,4358
2026-09-22T20:49:07.965Z,10vu,scw-lt-t2-load-dfb12f9ed04443bd9a5a55de8c2e971,1816,4353
2026-09-22T20:49:23.433Z,10vu,scw-lt-t2-load-dfb12f9ed04443bd9a5a55de8c2e971,1810,4536
2026-09-22T20:49:38.987Z,10vu,scw-lt-t2-load-dfb12f9ed04443bd9a5a55de8c2e971,1787,4430
2026-09-22T20:49:54.837Z,10vu,scw-lt-t2-load-dfb12f9ed04443bd9a5a55de8c2e971,1790,4385
2026-09-22T20:50:10.456Z,10vu,scw-lt-t2-load-dfb12f9ed04443bd9a5a55de8c2e971,1801,4519
2026-09-22T20:50:26.098Z,10vu,scw-lt-t2-load-dfb12f9ed04443bd9a5a55de8c2e971,1632,4313
2026-09-22T20:50:41.613Z,10vu,scw-lt-t2-load-dfb12f9ed04443bd9a5a55de8c2e971,1333,4298
2026-09-22T20:50:57.177Z,50vu,scw-lt-t2-load-dfb12f9ed04443bd9a5a55de8c2e971,1126,4165
2026-09-22T20:51:13.951Z,50vu,scw-lt-t2-load-dfb12f9ed04443bd9a5a55de8c2e971,242,4141
2026-09-22T20:51:32.920Z,50vu,scw-lt-t2-load-dfb12f9ed04443bd9a5a55de8c2e971,1973,4391
2026-09-22T20:51:50.563Z,50vu,scw-lt-t2-load-dfb12f9ed04443bd9a5a55de8c2e971,1995,4467
2026-09-22T20:52:09.376Z,50vu,scw-lt-t2-load-dfb12f9ed04443bd9a5a55de8c2e971,1993,4406
2026-09-22T20:52:28.020Z,50vu,scw-lt-t2-load-dfb12f9ed04443bd9a5a55de8c2e971,1996,4432
2026-09-22T20:52:47.823Z,50vu,scw-lt-t2-load-dfb12f9ed04443bd9a5a55de8c2e971,1997,4476
2026-09-22T20:53:06.586Z,50vu,scw-lt-t2-load-dfb12f9ed04443bd9a5a55de8c2e971,1997,4454
2026-09-22T20:53:26.041Z,50vu,scw-lt-t2-load-dfb12f9ed04443bd9a5a55de8c2e971,1997,4451
2026-09-22T20:53:43.986Z,50vu,scw-lt-t2-load-dfb12f9ed04443bd9a5a55de8c2e971,1996,4440
2026-09-22T20:54:01.286Z,50vu,scw-lt-t2-load-dfb12f9ed04443bd9a5a55de8c2e971,1997,4443
2026-09-22T20:54:17.572Z,50vu,scw-lt-t2-load-dfb12f9ed04443bd9a5a55de8c2e971,1996,4460
2026-09-22T20:54:34.236Z,50vu,scw-lt-t2-load-dfb12f9ed04443bd9a5a55de8c2e971,1996,4566
2026-09-22T20:54:49.806Z,50vu,scw-lt-t2-load-dfb12f9ed04443bd9a5a55de8c2e971,1994,4654
2026-09-22T20:55:05.623Z,50vu,scw-lt-t2-load-dfb12f9ed04443bd9a5a55de8c2e971,1844,4544
2026-09-22T20:55:21.306Z,50vu,scw-lt-t2-load-dfb12f9ed04443bd9a5a55de8c2e971,1836,4530
2026-09-22T20:55:36.930Z,50vu,scw-lt-t2-load-dfb12f9ed04443bd9a5a55de8c2e971,1868,4501
2026-09-22T20:55:52.763Z,50vu,scw-lt-t2-load-dfb12f9ed04443bd9a5a55de8c2e971,1821,4528
2026-09-22T20:56:08.650Z,50vu,scw-lt-t2-load-dfb12f9ed04443bd9a5a55de8c2e971,1815,4492
2026-09-22T20:56:24.294Z,50vu,scw-lt-t2-load-dfb12f9ed04443bd9a5a55de8c2e971,1477,4517
2026-09-22T20:56:39.913Z,50vu,scw-lt-t2-load-dfb12f9ed04443bd9a5a55de8c2e971,1509,4607
2026-09-22T20:56:55.501Z,50vu,scw-lt-t2-load-dfb12f9ed04443bd9a5a55de8c2e971,1466,4613
2026-09-22T20:57:11.147Z,50vu,scw-lt-t2-load-dfb12f9ed04443bd9a5a55de8c2e971,1436,4494
2026-09-22T20:57:26.698Z,50vu,scw-lt-t2-load-dfb12f9ed04443bd9a5a55de8c2e971,1407,4532
2026-09-22T20:57:42.350Z,50vu,scw-lt-t2-load-dfb12f9ed04443bd9a5a55de8c2e971,1416,4488
2026-09-22T20:57:58.045Z,50vu,scw-lt-t2-load-dfb12f9ed04443bd9a5a55de8c2e971,1400,4616
