ts,stage,pod,cpu_millicores,mem_mib
2026-09-22T20:45:08.039Z,10vu,lt-invoicerr-api-5b98d877d9-rbrcx,2,500
2026-09-22T20:45:08.039Z,10vu,lt-invoicerr-api-5b98d877d9-w98zs,2,489
2026-09-22T20:45:08.039Z,10vu,lt-invoicerr-ocr-67dfc6f76c-gl4c8,1,13
2026-09-22T20:45:08.039Z,10vu,lt-invoicerr-postgres-6f67654f68-8kdfn,21,60
2026-09-22T20:45:08.039Z,10vu,lt-invoicerr-redis-64c5d7869-fpv5j,9,22
2026-09-22T20:45:08.039Z,10vu,lt-invoicerr-worker-6d7f4b65-5dmcj,5,574
2026-09-22T20:45:08.039Z,10vu,lt-invoicerr-worker-6d7f4b65-9x5fr,6,457
2026-09-22T20:45:08.039Z,10vu,lt-invoicerr-worker-6d7f4b65-htzhz,2,497
2026-09-22T20:45:08.039Z,10vu,mailpit-dd68cc87d-rbnd6,1,5
2026-09-22T20:45:24.143Z,10vu,lt-invoicerr-api-5b98d877d9-rbrcx,249,536
2026-09-22T20:45:24.143Z,10vu,lt-invoicerr-api-5b98d877d9-w98zs,340,529
2026-09-22T20:45:24.143Z,10vu,lt-invoicerr-ocr-67dfc6f76c-gl4c8,1,13
2026-09-22T20:45:24.143Z,10vu,lt-invoicerr-postgres-6f67654f68-8kdfn,74,112
2026-09-22T20:45:24.143Z,10vu,lt-invoicerr-redis-64c5d7869-fpv5j,12,22
2026-09-22T20:45:24.143Z,10vu,lt-invoicerr-worker-6d7f4b65-5dmcj,23,586
2026-09-22T20:45:24.143Z,10vu,lt-invoicerr-worker-6d7f4b65-9x5fr,23,473
2026-09-22T20:45:24.143Z,10vu,lt-invoicerr-worker-6d7f4b65-htzhz,65,546
2026-09-22T20:45:24.143Z,10vu,mailpit-dd68cc87d-rbnd6,0,5
2026-09-22T20:45:40.646Z,10vu,lt-invoicerr-api-5b98d877d9-rbrcx,384,537
2026-09-22T20:45:40.646Z,10vu,lt-invoicerr-api-5b98d877d9-w98zs,627,518
2026-09-22T20:45:40.646Z,10vu,lt-invoicerr-ocr-67dfc6f76c-gl4c8,1,13
2026-09-22T20:45:40.646Z,10vu,lt-invoicerr-postgres-6f67654f68-8kdfn,93,108
2026-09-22T20:45:40.646Z,10vu,lt-invoicerr-redis-64c5d7869-fpv5j,14,22
2026-09-22T20:45:40.646Z,10vu,lt-invoicerr-worker-6d7f4b65-5dmcj,277,585
2026-09-22T20:45:40.646Z,10vu,lt-invoicerr-worker-6d7f4b65-9x5fr,336,509
2026-09-22T20:45:40.646Z,10vu,lt-invoicerr-worker-6d7f4b65-htzhz,240,529
2026-09-22T20:45:40.646Z,10vu,mailpit-dd68cc87d-rbnd6,6,39
2026-09-22T20:45:58.126Z,10vu,lt-invoicerr-api-5b98d877d9-rbrcx,384,537
2026-09-22T20:45:58.126Z,10vu,lt-invoicerr-api-5b98d877d9-w98zs,569,535
2026-09-22T20:45:58.126Z,10vu,lt-invoicerr-ocr-67dfc6f76c-gl4c8,48,135
2026-09-22T20:45:58.126Z,10vu,lt-invoicerr-postgres-6f67654f68-8kdfn,83,102
2026-09-22T20:45:58.126Z,10vu,lt-invoicerr-redis-64c5d7869-fpv5j,10,22
2026-09-22T20:45:58.126Z,10vu,lt-invoicerr-worker-6d7f4b65-5dmcj,260,614
2026-09-22T20:45:58.126Z,10vu,lt-invoicerr-worker-6d7f4b65-9x5fr,248,495
2026-09-22T20:45:58.126Z,10vu,lt-invoicerr-worker-6d7f4b65-htzhz,263,532
2026-09-22T20:45:58.126Z,10vu,mailpit-dd68cc87d-rbnd6,10,45
2026-09-22T20:46:14.038Z,10vu,lt-invoicerr-api-5b98d877d9-rbrcx,346,556
2026-09-22T20:46:14.038Z,10vu,lt-invoicerr-api-5b98d877d9-w98zs,569,535
2026-09-22T20:46:14.038Z,10vu,lt-invoicerr-ocr-67dfc6f76c-gl4c8,761,151
2026-09-22T20:46:14.038Z,10vu,lt-invoicerr-postgres-6f67654f68-8kdfn,62,85
2026-09-22T20:46:14.038Z,10vu,lt-invoicerr-redis-64c5d7869-fpv5j,16,22
2026-09-22T20:46:14.038Z,10vu,lt-invoicerr-worker-6d7f4b65-5dmcj,167,591
2026-09-22T20:46:14.038Z,10vu,lt-invoicerr-worker-6d7f4b65-9x5fr,248,495
2026-09-22T20:46:14.038Z,10vu,lt-invoicerr-worker-6d7f4b65-htzhz,145,533
2026-09-22T20:46:14.038Z,10vu,mailpit-dd68cc87d-rbnd6,6,45
2026-09-22T20:46:29.918Z,10vu,lt-invoicerr-api-5b98d877d9-rbrcx,333,553
2026-09-22T20:46:29.918Z,10vu,lt-invoicerr-api-5b98d877d9-w98zs,134,512
2026-09-22T20:46:29.918Z,10vu,lt-invoicerr-ocr-67dfc6f76c-gl4c8,604,88
2026-09-22T20:46:29.918Z,10vu,lt-invoicerr-postgres-6f67654f68-8kdfn,73,96
2026-09-22T20:46:29.918Z,10vu,lt-invoicerr-redis-64c5d7869-fpv5j,19,22
2026-09-22T20:46:29.918Z,10vu,lt-invoicerr-worker-6d7f4b65-5dmcj,111,591
2026-09-22T20:46:29.918Z,10vu,lt-invoicerr-worker-6d7f4b65-9x5fr,42,495
2026-09-22T20:46:29.918Z,10vu,lt-invoicerr-worker-6d7f4b65-htzhz,209,540
2026-09-22T20:46:29.918Z,10vu,mailpit-dd68cc87d-rbnd6,4,45
2026-09-22T20:46:45.443Z,10vu,lt-invoicerr-api-5b98d877d9-rbrcx,333,553
2026-09-22T20:46:45.443Z,10vu,lt-invoicerr-api-5b98d877d9-w98zs,296,525
2026-09-22T20:46:45.443Z,10vu,lt-invoicerr-ocr-67dfc6f76c-gl4c8,615,167
