ts,stage,wait,active,delayed,prioritized,failed,pg_connections
2026-09-22T20:45:08.039Z,10vu,0,0,8,0,0,24
2026-09-22T20:45:24.143Z,10vu,0,3,8,0,0,25
2026-09-22T20:45:40.646Z,10vu,0,3,8,0,0,25
2026-09-22T20:45:58.126Z,10vu,0,1,8,0,0,13
2026-09-22T20:46:14.038Z,10vu,0,0,8,0,0,21
2026-09-22T20:46:29.918Z,10vu,0,0,8,0,0,18
2026-09-22T20:46:45.443Z,10vu,0,1,8,0,0,17
2026-09-22T20:47:01.553Z,10vu,0,0,8,0,0,17
2026-09-22T20:47:17.518Z,10vu,0,1,8,0,0,15
2026-09-22T20:47:33.259Z,10vu,0,1,8,0,0,15
2026-09-22T20:47:49.130Z,10vu,0,1,8,0,0,17
2026-09-22T20:48:05.039Z,10vu,0,1,8,0,0,16
2026-09-22T20:48:20.803Z,10vu,0,0,8,0,0,15
2026-09-22T20:48:36.426Z,10vu,0,0,8,0,0,16
2026-09-22T20:48:52.018Z,10vu,0,2,8,0,0,17
2026-09-22T20:49:07.965Z,10vu,0,0,8,0,0,20
2026-09-22T20:49:23.433Z,10vu,0,0,8,0,0,17
2026-09-22T20:49:38.987Z,10vu,0,1,8,0,0,19
2026-09-22T20:49:54.837Z,10vu,0,0,8,0,0,17
2026-09-22T20:50:10.456Z,10vu,0,0,8,0,0,15
2026-09-22T20:50:26.098Z,10vu,0,0,8,0,0,7
2026-09-22T20:50:41.613Z,10vu,0,0,8,0,0,6
2026-09-22T20:50:57.177Z,50vu,0,0,8,0,0,31
2026-09-22T20:51:13.951Z,50vu,10,3,8,0,0,31
2026-09-22T20:51:32.920Z,50vu,38,3,8,0,0,38
2026-09-22T20:51:50.563Z,50vu,38,3,8,0,0,37
2026-09-22T20:52:09.376Z,50vu,39,3,6,0,0,37
2026-09-22T20:52:28.020Z,50vu,39,3,6,0,0,37
2026-09-22T20:52:47.823Z,50vu,32,3,8,0,0,37
2026-09-22T20:53:06.586Z,50vu,39,3,6,0,0,37
2026-09-22T20:53:26.041Z,50vu,42,3,6,0,0,37
2026-09-22T20:53:43.986Z,50vu,36,3,8,0,0,37
2026-09-22T20:54:01.286Z,50vu,39,3,6,0,0,37
2026-09-22T20:54:17.572Z,50vu,30,3,6,0,0,37
2026-09-22T20:54:34.236Z,50vu,0,0,8,0,0,36
2026-09-22T20:54:49.806Z,50vu,0,0,8,0,0,30
2026-09-22T20:55:05.623Z,50vu,0,0,8,0,0,28
2026-09-22T20:55:21.306Z,50vu,0,0,8,0,0,30
2026-09-22T20:55:36.930Z,50vu,0,1,8,0,0,29
2026-09-22T20:55:52.763Z,50vu,0,1,8,0,0,25
2026-09-22T20:56:08.650Z,50vu,0,0,8,0,0,20
2026-09-22T20:56:24.294Z,50vu,0,0,8,0,0,15
2026-09-22T20:56:39.913Z,50vu,0,0,8,0,0,12
2026-09-22T20:56:55.501Z,50vu,0,0,8,0,0,16
2026-09-22T20:57:11.147Z,50vu,0,0,8,0,0,16
2026-09-22T20:57:26.698Z,50vu,0,0,8,0,0,14
2026-09-22T20:57:42.350Z,50vu,0,0,8,0,0,18
2026-09-22T20:57:58.045Z,50vu,0,0,8,0,0,14
