ts,stage,node,cpu_millicores,mem_mib
2026-09-22T21:19:32.570Z,50vu,1-nodes,5640,3721
2026-09-22T21:19:48.466Z,50vu,1-nodes,5685,3329
2026-09-22T21:20:04.243Z,50vu,1-nodes,5650,3789
2026-09-22T21:20:19.852Z,50vu,1-nodes,5794,3538
2026-09-22T21:20:35.473Z,50vu,1-nodes,5737,3616
2026-09-22T21:20:51.336Z,50vu,1-nodes,5815,3637
2026-09-22T21:21:06.925Z,50vu,1-nodes,5791,3635
2026-09-22T21:21:22.686Z,50vu,1-nodes,5795,3508
2026-09-22T21:21:38.480Z,50vu,1-nodes,5849,3648
2026-09-22T21:21:54.249Z,50vu,1-nodes,5850,3677
2026-09-22T21:22:09.807Z,50vu,1-nodes,5525,3467
2026-09-22T21:22:25.168Z,50vu,1-nodes,2925,3374
2026-09-22T21:22:40.623Z,50vu,1-nodes,2685,3277
2026-09-22T21:22:56.040Z,50vu,1-nodes,2342,3456
2026-09-22T21:23:11.533Z,50vu,1-nodes,2182,3317
2026-09-22T21:23:27.025Z,50vu,1-nodes,2203,3341
2026-09-22T21:23:42.484Z,50vu,1-nodes,2150,3476
2026-09-22T21:23:58.054Z,50vu,1-nodes,2163,3327
2026-09-22T21:24:13.562Z,50vu,1-nodes,2188,3278
2026-09-22T21:24:29.112Z,50vu,1-nodes,2168,3395
2026-09-22T21:24:44.753Z,50vu,1-nodes,2134,3290
2026-09-22T21:25:00.266Z,50vu,1-nodes,2217,3343
2026-09-22T21:25:15.736Z,50vu,1-nodes,2050,3460
2026-09-22T21:25:31.125Z,50vu,1-nodes,2121,3300
2026-09-22T21:25:46.533Z,50vu,1-nodes,2068,3314
2026-09-22T21:26:01.993Z,50vu,1-nodes,1994,3374
2026-09-22T21:26:17.529Z,50vu,1-nodes,1919,3277
2026-09-22T21:26:33.046Z,50vu,1-nodes,1922,3231
