ts,stage,pod,cpu_millicores,mem_mib
2026-09-22T21:19:32.570Z,50vu,lt-invoicerr-api-7c755cc894-gdjv8,1373,715
2026-09-22T21:19:32.570Z,50vu,lt-invoicerr-ocr-67dfc6f76c-6k44m,509,94
2026-09-22T21:19:32.570Z,50vu,lt-invoicerr-postgres-6f67654f68-97vb6,132,68
2026-09-22T21:19:32.570Z,50vu,lt-invoicerr-redis-64c5d7869-8z9jf,27,10
2026-09-22T21:19:32.570Z,50vu,lt-invoicerr-worker-764696ddb4-xhxnd,4,450
2026-09-22T21:19:32.570Z,50vu,lt-invoicerr-worker-78cffb76fd-jjx4t,476,456
2026-09-22T21:19:32.570Z,50vu,lt-invoicerr-worker-78cffb76fd-w6zgr,1177,436
2026-09-22T21:19:32.570Z,50vu,mailpit-dd68cc87d-q44v7,6,24
2026-09-22T21:19:48.466Z,50vu,lt-invoicerr-api-7c755cc894-gdjv8,1373,715
2026-09-22T21:19:48.466Z,50vu,lt-invoicerr-ocr-67dfc6f76c-6k44m,474,239
2026-09-22T21:19:48.466Z,50vu,lt-invoicerr-postgres-6f67654f68-97vb6,233,95
2026-09-22T21:19:48.466Z,50vu,lt-invoicerr-redis-64c5d7869-8z9jf,28,11
2026-09-22T21:19:48.466Z,50vu,lt-invoicerr-worker-78cffb76fd-5wnjg,1008,510
2026-09-22T21:19:48.466Z,50vu,lt-invoicerr-worker-78cffb76fd-jjx4t,876,461
2026-09-22T21:19:48.466Z,50vu,lt-invoicerr-worker-78cffb76fd-w6zgr,809,479
2026-09-22T21:19:48.466Z,50vu,mailpit-dd68cc87d-q44v7,10,47
2026-09-22T21:20:04.243Z,50vu,lt-invoicerr-api-7c755cc894-gdjv8,1447,931
2026-09-22T21:20:04.243Z,50vu,lt-invoicerr-ocr-67dfc6f76c-6k44m,467,236
2026-09-22T21:20:04.243Z,50vu,lt-invoicerr-postgres-6f67654f68-97vb6,233,95
2026-09-22T21:20:04.243Z,50vu,lt-invoicerr-redis-64c5d7869-8z9jf,32,11
2026-09-22T21:20:04.243Z,50vu,lt-invoicerr-worker-78cffb76fd-5wnjg,933,534
2026-09-22T21:20:04.243Z,50vu,lt-invoicerr-worker-78cffb76fd-jjx4t,876,461
2026-09-22T21:20:04.243Z,50vu,lt-invoicerr-worker-78cffb76fd-w6zgr,845,473
2026-09-22T21:20:04.243Z,50vu,mailpit-dd68cc87d-q44v7,1,49
2026-09-22T21:20:19.852Z,50vu,lt-invoicerr-api-7c755cc894-gdjv8,2497,882
2026-09-22T21:20:19.852Z,50vu,lt-invoicerr-ocr-67dfc6f76c-6k44m,384,238
2026-09-22T21:20:19.852Z,50vu,lt-invoicerr-postgres-6f67654f68-97vb6,257,94
2026-09-22T21:20:19.852Z,50vu,lt-invoicerr-redis-64c5d7869-8z9jf,38,11
2026-09-22T21:20:19.852Z,50vu,lt-invoicerr-worker-78cffb76fd-5wnjg,933,534
2026-09-22T21:20:19.852Z,50vu,lt-invoicerr-worker-78cffb76fd-jjx4t,842,495
2026-09-22T21:20:19.852Z,50vu,lt-invoicerr-worker-78cffb76fd-w6zgr,845,473
2026-09-22T21:20:19.852Z,50vu,mailpit-dd68cc87d-q44v7,1,49
2026-09-22T21:20:35.473Z,50vu,lt-invoicerr-api-7c755cc894-gdjv8,1464,819
2026-09-22T21:20:35.473Z,50vu,lt-invoicerr-ocr-67dfc6f76c-6k44m,508,240
2026-09-22T21:20:35.473Z,50vu,lt-invoicerr-postgres-6f67654f68-97vb6,281,96
2026-09-22T21:20:35.473Z,50vu,lt-invoicerr-redis-64c5d7869-8z9jf,38,11
2026-09-22T21:20:35.473Z,50vu,lt-invoicerr-worker-78cffb76fd-5wnjg,990,516
2026-09-22T21:20:35.473Z,50vu,lt-invoicerr-worker-78cffb76fd-jjx4t,1071,496
2026-09-22T21:20:35.473Z,50vu,lt-invoicerr-worker-78cffb76fd-w6zgr,1037,458
2026-09-22T21:20:35.473Z,50vu,mailpit-dd68cc87d-q44v7,0,49
2026-09-22T21:20:51.336Z,50vu,lt-invoicerr-api-7c755cc894-gdjv8,1735,828
2026-09-22T21:20:51.336Z,50vu,lt-invoicerr-ocr-67dfc6f76c-6k44m,508,240
2026-09-22T21:20:51.336Z,50vu,lt-invoicerr-postgres-6f67654f68-97vb6,303,96
2026-09-22T21:20:51.336Z,50vu,lt-invoicerr-redis-64c5d7869-8z9jf,37,11
2026-09-22T21:20:51.336Z,50vu,lt-invoicerr-worker-78cffb76fd-5wnjg,1057,516
2026-09-22T21:20:51.336Z,50vu,lt-invoicerr-worker-78cffb76fd-jjx4t,1030,500
2026-09-22T21:20:51.336Z,50vu,lt-invoicerr-worker-78cffb76fd-w6zgr,1032,466
2026-09-22T21:20:51.336Z,50vu,mailpit-dd68cc87d-q44v7,0,49
2026-09-22T21:21:06.925Z,50vu,lt-invoicerr-api-7c755cc894-gdjv8,1735,828
2026-09-22T21:21:06.925Z,50vu,lt-invoicerr-ocr-67dfc6f76c-6k44m,474,239
2026-09-22T21:21:06.925Z,50vu,lt-invoicerr-postgres-6f67654f68-97vb6,288,96
2026-09-22T21:21:06.925Z,50vu,lt-invoicerr-redis-64c5d7869-8z9jf,41,11
2026-09-22T21:21:06.925Z,50vu,lt-invoicerr-worker-78cffb76fd-5wnjg,1111,531
2026-09-22T21:21:06.925Z,50vu,lt-invoicerr-worker-78cffb76fd-jjx4t,1082,505
2026-09-22T21:21:06.925Z,50vu,lt-invoicerr-worker-78cffb76fd-w6zgr,1068,506
2026-09-22T21:21:06.925Z,50vu,mailpit-dd68cc87d-q44v7,0,49
2026-09-22T21:21:22.686Z,50vu,lt-invoicerr-api-7c755cc894-gdjv8,1757,830
2026-09-22T21:21:22.686Z,50vu,lt-invoicerr-ocr-67dfc6f76c-6k44m,543,241
