ts,stage,wait,active,delayed,prioritized,failed,pg_connections
2026-09-22T21:19:32.570Z,50vu,10,3,17,0,11,27
2026-09-22T21:19:48.466Z,50vu,24,3,21,0,34,24
2026-09-22T21:20:04.243Z,50vu,62,3,17,0,50,25
2026-09-22T21:20:19.852Z,50vu,56,3,25,0,50,25
2026-09-22T21:20:35.473Z,50vu,43,3,21,0,50,25
2026-09-22T21:20:51.336Z,50vu,41,3,20,0,50,25
2026-09-22T21:21:06.925Z,50vu,30,3,21,0,50,24
2026-09-22T21:21:22.686Z,50vu,31,3,20,0,50,25
2026-09-22T21:21:38.480Z,50vu,28,3,22,0,50,24
2026-09-22T21:21:54.249Z,50vu,11,3,23,0,50,25
2026-09-22T21:22:09.807Z,50vu,0,0,8,0,50,16
2026-09-22T21:22:25.168Z,50vu,0,0,8,0,50,9
2026-09-22T21:22:40.623Z,50vu,0,0,8,0,50,10
2026-09-22T21:22:56.040Z,50vu,0,0,8,0,50,6
2026-09-22T21:23:11.533Z,50vu,0,0,8,0,50,6
2026-09-22T21:23:27.025Z,50vu,0,0,8,0,50,5
2026-09-22T21:23:42.484Z,50vu,0,0,8,0,50,6
2026-09-22T21:23:58.054Z,50vu,0,0,8,0,50,6
2026-09-22T21:24:13.562Z,50vu,0,0,8,0,50,9
2026-09-22T21:24:29.112Z,50vu,0,0,8,0,50,5
2026-09-22T21:24:44.753Z,50vu,0,0,8,0,50,6
2026-09-22T21:25:00.266Z,50vu,0,0,8,0,50,8
2026-09-22T21:25:15.736Z,50vu,0,0,8,0,50,6
2026-09-22T21:25:31.125Z,50vu,0,0,8,0,50,6
2026-09-22T21:25:46.533Z,50vu,0,0,8,0,50,5
2026-09-22T21:26:01.993Z,50vu,0,0,8,0,50,7
2026-09-22T21:26:17.529Z,50vu,0,0,8,0,50,7
2026-09-22T21:26:33.046Z,50vu,0,0,8,0,50,5
