ts,stage,node,cpu_millicores,mem_mib
2026-09-22T21:15:33.601Z,50vu,1-nodes,360,2621
2026-09-22T21:15:49.229Z,50vu,1-nodes,526,2651
2026-09-22T21:16:04.702Z,50vu,1-nodes,2195,2471
2026-09-22T21:16:20.260Z,50vu,1-nodes,952,2605
2026-09-22T21:16:35.723Z,50vu,1-nodes,1538,2110
2026-09-22T21:16:51.241Z,50vu,1-nodes,1490,2587
2026-09-22T21:17:06.789Z,50vu,1-nodes,1007,2652
2026-09-22T21:17:22.519Z,50vu,1-nodes,693,2264
2026-09-22T21:17:38.043Z,50vu,1-nodes,1302,2640
2026-09-22T21:17:53.566Z,50vu,1-nodes,1457,2161
2026-09-22T21:18:09.277Z,50vu,1-nodes,245,2165
2026-09-22T21:18:24.833Z,50vu,1-nodes,267,2155
2026-09-22T21:18:40.303Z,50vu,1-nodes,1873,2551
2026-09-22T21:18:55.973Z,50vu,1-nodes,1855,3197
2026-09-22T21:19:11.566Z,50vu,1-nodes,2840,3242
2026-09-22T21:19:27.383Z,50vu,1-nodes,5640,3721
2026-09-22T21:19:43.331Z,50vu,1-nodes,5685,3329
2026-09-22T21:19:59.053Z,50vu,1-nodes,5650,3789
2026-09-22T21:20:14.829Z,50vu,1-nodes,5794,3538
2026-09-22T21:20:30.646Z,50vu,1-nodes,5737,3616
2026-09-22T21:20:46.274Z,50vu,1-nodes,5815,3637
2026-09-22T21:21:02.074Z,50vu,1-nodes,5791,3635
2026-09-22T21:21:17.618Z,50vu,1-nodes,5809,3608
2026-09-22T21:21:33.371Z,50vu,1-nodes,5795,3508
2026-09-22T21:21:49.154Z,50vu,1-nodes,5849,3648
2026-09-22T21:22:04.773Z,50vu,1-nodes,5850,3677
2026-09-22T21:22:20.356Z,50vu,1-nodes,5525,3467
