ts,stage,wait,active,delayed,prioritized,failed,pg_connections
2026-09-22T21:15:33.601Z,50vu,0,0,8,0,0,13
2026-09-22T21:15:49.229Z,50vu,0,0,8,0,0,2
2026-09-22T21:16:04.702Z,50vu,0,0,8,0,0,4
2026-09-22T21:16:20.260Z,50vu,0,0,8,0,0,1
2026-09-22T21:16:35.723Z,50vu,0,0,8,0,0,4
2026-09-22T21:16:51.241Z,50vu,0,0,8,0,0,7
2026-09-22T21:17:06.789Z,50vu,0,0,8,0,0,3
2026-09-22T21:17:22.519Z,50vu,0,0,8,0,0,2
2026-09-22T21:17:38.043Z,50vu,0,0,8,0,0,16
2026-09-22T21:17:53.566Z,50vu,0,0,8,0,0,1
2026-09-22T21:18:09.277Z,50vu,0,0,8,0,0,3
2026-09-22T21:18:24.833Z,50vu,0,0,8,0,0,1
2026-09-22T21:18:40.303Z,50vu,0,0,8,0,0,4
2026-09-22T21:18:55.973Z,50vu,0,0,8,0,0,9
2026-09-22T21:19:11.566Z,50vu,1,4,11,0,0,25
2026-09-22T21:19:27.383Z,50vu,11,4,19,0,3,26
2026-09-22T21:19:43.331Z,50vu,6,3,17,0,32,25
2026-09-22T21:19:59.053Z,50vu,57,3,23,0,43,25
2026-09-22T21:20:14.829Z,50vu,53,3,27,0,50,25
2026-09-22T21:20:30.646Z,50vu,55,3,16,0,50,25
2026-09-22T21:20:46.274Z,50vu,44,3,22,0,50,25
2026-09-22T21:21:02.074Z,50vu,35,3,19,0,50,25
2026-09-22T21:21:17.618Z,50vu,30,3,16,0,50,25
2026-09-22T21:21:33.371Z,50vu,27,3,24,0,50,25
2026-09-22T21:21:49.154Z,50vu,23,3,25,0,50,25
2026-09-22T21:22:04.773Z,50vu,0,0,8,0,50,20
2026-09-22T21:22:20.356Z,50vu,0,0,8,0,50,8
