ts,stage,node,cpu_millicores,mem_mib
2026-09-22T21:31:08.459Z,50vu,1-nodes,1807,3350
2026-09-22T21:31:24.288Z,50vu,1-nodes,2954,3450
2026-09-22T21:31:40.298Z,50vu,1-nodes,5737,3488
2026-09-22T21:31:57.321Z,50vu,1-nodes,5827,3652
2026-09-22T21:32:13.833Z,50vu,1-nodes,5873,3804
2026-09-22T21:32:30.259Z,50vu,1-nodes,3716,3484
2026-09-22T21:32:47.789Z,50vu,1-nodes,3681,3487
2026-09-22T21:33:03.833Z,50vu,1-nodes,3612,3505
2026-09-22T21:33:20.080Z,50vu,1-nodes,3546,3515
2026-09-22T21:33:36.477Z,50vu,1-nodes,3657,3472
2026-09-22T21:33:53.137Z,50vu,1-nodes,3563,3483
2026-09-22T21:34:09.589Z,50vu,1-nodes,3687,3458
2026-09-22T21:34:27.183Z,50vu,1-nodes,3512,3507
2026-09-22T21:34:43.686Z,50vu,1-nodes,3564,3503
2026-09-22T21:35:03.590Z,50vu,1-nodes,3495,3386
2026-09-22T21:35:20.423Z,50vu,1-nodes,3694,3470
2026-09-22T21:35:36.383Z,50vu,1-nodes,3505,3468
2026-09-22T21:35:52.916Z,50vu,1-nodes,3478,3682
2026-09-22T21:36:09.186Z,50vu,1-nodes,3612,3401
2026-09-22T21:36:26.436Z,50vu,1-nodes,2590,3430
2026-09-22T21:36:43.453Z,50vu,1-nodes,2135,3416
2026-09-22T21:36:59.613Z,50vu,1-nodes,1985,3357
2026-09-22T21:37:16.288Z,50vu,1-nodes,2007,3503
2026-09-22T21:37:32.698Z,50vu,1-nodes,1905,3404
2026-09-22T21:37:48.896Z,50vu,1-nodes,1898,3418
2026-09-22T21:38:04.746Z,50vu,1-nodes,1807,3547
