ts,stage,pod,cpu_millicores,mem_mib
2026-09-22T21:31:08.459Z,50vu,lt-invoicerr-api-6948ddbcdd-jk7dk,7,518
2026-09-22T21:31:08.459Z,50vu,lt-invoicerr-ocr-67dfc6f76c-6k44m,1,16
2026-09-22T21:31:08.459Z,50vu,lt-invoicerr-postgres-6f67654f68-97vb6,20,57
2026-09-22T21:31:08.459Z,50vu,lt-invoicerr-redis-64c5d7869-8z9jf,10,12
2026-09-22T21:31:08.459Z,50vu,lt-invoicerr-worker-54598dfbcd-d4gzd,89,461
2026-09-22T21:31:08.459Z,50vu,lt-invoicerr-worker-54598dfbcd-tdpnh,753,435
2026-09-22T21:31:08.459Z,50vu,lt-invoicerr-worker-54598dfbcd-wj7wh,66,426
2026-09-22T21:31:08.459Z,50vu,mailpit-dd68cc87d-q44v7,0,28
2026-09-22T21:31:24.288Z,50vu,lt-invoicerr-api-6948ddbcdd-jk7dk,1186,851
2026-09-22T21:31:24.288Z,50vu,lt-invoicerr-ocr-67dfc6f76c-6k44m,1,16
2026-09-22T21:31:24.288Z,50vu,lt-invoicerr-postgres-6f67654f68-97vb6,256,88
2026-09-22T21:31:24.288Z,50vu,lt-invoicerr-redis-64c5d7869-8z9jf,17,12
2026-09-22T21:31:24.288Z,50vu,lt-invoicerr-worker-54598dfbcd-d4gzd,12,463
2026-09-22T21:31:24.288Z,50vu,lt-invoicerr-worker-54598dfbcd-tdpnh,416,471
2026-09-22T21:31:24.288Z,50vu,lt-invoicerr-worker-54598dfbcd-wj7wh,201,465
2026-09-22T21:31:24.288Z,50vu,mailpit-dd68cc87d-q44v7,1,28
2026-09-22T21:31:40.298Z,50vu,lt-invoicerr-api-6948ddbcdd-jk7dk,2845,917
2026-09-22T21:31:40.298Z,50vu,lt-invoicerr-ocr-67dfc6f76c-6k44m,1,16
2026-09-22T21:31:40.298Z,50vu,lt-invoicerr-postgres-6f67654f68-97vb6,283,92
2026-09-22T21:31:40.298Z,50vu,lt-invoicerr-redis-64c5d7869-8z9jf,23,12
2026-09-22T21:31:40.298Z,50vu,lt-invoicerr-worker-54598dfbcd-d4gzd,574,502
2026-09-22T21:31:40.298Z,50vu,lt-invoicerr-worker-54598dfbcd-tdpnh,802,462
2026-09-22T21:31:40.298Z,50vu,lt-invoicerr-worker-54598dfbcd-wj7wh,836,463
2026-09-22T21:31:40.298Z,50vu,mailpit-dd68cc87d-q44v7,18,73
