ts,stage,wait,active,delayed,prioritized,failed,pg_connections
2026-09-22T21:31:08.459Z,50vu,0,0,8,0,50,13
2026-09-22T21:31:24.288Z,50vu,0,0,8,0,50,20
2026-09-22T21:31:40.298Z,50vu,0,3,8,0,50,22
2026-09-22T21:31:57.321Z,50vu,1,3,8,0,50,22
2026-09-22T21:32:13.833Z,50vu,0,0,8,0,50,19
2026-09-22T21:32:30.259Z,50vu,0,0,8,0,50,18
2026-09-22T21:32:47.789Z,50vu,0,0,8,0,50,18
2026-09-22T21:33:03.833Z,50vu,0,1,8,0,50,15
2026-09-22T21:33:20.080Z,50vu,0,0,8,0,50,16
2026-09-22T21:33:36.477Z,50vu,0,0,8,0,50,17
2026-09-22T21:33:53.137Z,50vu,0,0,8,0,50,17
2026-09-22T21:34:09.589Z,50vu,0,0,8,0,50,15
2026-09-22T21:34:27.183Z,50vu,0,0,8,0,50,17
2026-09-22T21:34:43.686Z,50vu,0,0,8,0,50,15
2026-09-22T21:35:03.590Z,50vu,0,1,8,0,50,16
2026-09-22T21:35:20.423Z,50vu,0,1,8,0,50,16
2026-09-22T21:35:36.383Z,50vu,0,1,8,0,50,18
2026-09-22T21:35:52.916Z,50vu,0,0,8,0,50,20
2026-09-22T21:36:09.186Z,50vu,0,0,8,0,50,17
2026-09-22T21:36:26.436Z,50vu,0,0,8,0,50,8
2026-09-22T21:36:43.453Z,50vu,0,0,8,0,50,5
2026-09-22T21:36:59.613Z,50vu,0,0,8,0,50,8
2026-09-22T21:37:16.288Z,50vu,0,0,8,0,50,6
2026-09-22T21:37:32.698Z,50vu,0,0,8,0,50,5
2026-09-22T21:37:48.896Z,50vu,0,0,8,0,50,6
2026-09-22T21:38:04.746Z,50vu,0,0,8,0,50,7
