ts,stage,pod,cpu_millicores,mem_mib
2026-09-22T21:15:33.601Z,50vu,lt-invoicerr-api-5c8844457b-tdp7m,67,538
2026-09-22T21:15:33.601Z,50vu,lt-invoicerr-ocr-67dfc6f76c-6k44m,1,13
2026-09-22T21:15:33.601Z,50vu,lt-invoicerr-postgres-6f67654f68-97vb6,33,40
2026-09-22T21:15:33.601Z,50vu,lt-invoicerr-redis-64c5d7869-8z9jf,9,10
2026-09-22T21:15:33.601Z,50vu,lt-invoicerr-worker-764696ddb4-52pst,7,490
2026-09-22T21:15:33.601Z,50vu,lt-invoicerr-worker-764696ddb4-bppdj,5,428
2026-09-22T21:15:33.601Z,50vu,lt-invoicerr-worker-764696ddb4-xhxnd,6,420
2026-09-22T21:15:33.601Z,50vu,mailpit-dd68cc87d-q44v7,1,6
2026-09-22T21:15:49.229Z,50vu,lt-invoicerr-api-5c8844457b-tdp7m,2,538
2026-09-22T21:15:49.229Z,50vu,lt-invoicerr-ocr-67dfc6f76c-6k44m,1,13
2026-09-22T21:15:49.229Z,50vu,lt-invoicerr-postgres-6f67654f68-97vb6,10,36
2026-09-22T21:15:49.229Z,50vu,lt-invoicerr-redis-64c5d7869-8z9jf,10,10
2026-09-22T21:15:49.229Z,50vu,lt-invoicerr-worker-764696ddb4-52pst,2,490
2026-09-22T21:15:49.229Z,50vu,lt-invoicerr-worker-764696ddb4-bppdj,2,428
2026-09-22T21:15:49.229Z,50vu,lt-invoicerr-worker-764696ddb4-xhxnd,2,420
2026-09-22T21:15:49.229Z,50vu,mailpit-dd68cc87d-q44v7,0,6
2026-09-22T21:16:04.702Z,50vu,lt-invoicerr-api-5c8844457b-tdp7m,1704,401
2026-09-22T21:16:04.702Z,50vu,lt-invoicerr-ocr-67dfc6f76c-6k44m,1,13
2026-09-22T21:16:04.702Z,50vu,lt-invoicerr-postgres-6f67654f68-97vb6,172,33
2026-09-22T21:16:04.702Z,50vu,lt-invoicerr-redis-64c5d7869-8z9jf,22,10
2026-09-22T21:16:04.702Z,50vu,lt-invoicerr-worker-764696ddb4-52pst,4,490
2026-09-22T21:16:04.702Z,50vu,lt-invoicerr-worker-764696ddb4-bppdj,2,428
2026-09-22T21:16:04.702Z,50vu,lt-invoicerr-worker-764696ddb4-xhxnd,2,420
2026-09-22T21:16:04.702Z,50vu,mailpit-dd68cc87d-q44v7,0,6
2026-09-22T21:16:20.260Z,50vu,lt-invoicerr-api-5c8844457b-tdp7m,980,515
