ts,stage,node,cpu_millicores,mem_mib
2026-09-22T21:41:43.101Z,50vu,1-nodes,4158,6212
2026-09-22T21:41:59.210Z,50vu,1-nodes,2136,5936
2026-09-22T21:42:14.999Z,50vu,1-nodes,5783,6337
2026-09-22T21:42:30.873Z,50vu,1-nodes,5826,6393
2026-09-22T21:42:46.488Z,50vu,1-nodes,5829,6500
2026-09-22T21:43:02.026Z,50vu,1-nodes,5680,6758
2026-09-22T21:43:17.629Z,50vu,1-nodes,3617,6777
2026-09-22T21:43:33.099Z,50vu,1-nodes,3848,6567
2026-09-22T21:43:48.576Z,50vu,1-nodes,3721,6592
2026-09-22T21:44:04.050Z,50vu,1-nodes,3816,6418
2026-09-22T21:44:19.572Z,50vu,1-nodes,3840,6315
2026-09-22T21:44:35.103Z,50vu,1-nodes,3547,6501
2026-09-22T21:44:50.691Z,50vu,1-nodes,3779,6351
2026-09-22T21:45:06.104Z,50vu,1-nodes,3886,6377
2026-09-22T21:45:21.699Z,50vu,1-nodes,3800,6479
2026-09-22T21:45:37.213Z,50vu,1-nodes,3763,6350
2026-09-22T21:45:52.633Z,50vu,1-nodes,3634,6490
2026-09-22T21:46:08.016Z,50vu,1-nodes,3697,6433
2026-09-22T21:46:23.467Z,50vu,1-nodes,3732,6344
2026-09-22T21:46:38.946Z,50vu,1-nodes,3705,6336
2026-09-22T21:46:54.414Z,50vu,1-nodes,3477,6339
2026-09-22T21:47:09.853Z,50vu,1-nodes,2403,6464
2026-09-22T21:47:25.310Z,50vu,1-nodes,2214,6317
2026-09-22T21:47:40.731Z,50vu,1-nodes,2172,6299
2026-09-22T21:47:56.483Z,50vu,1-nodes,2023,6363
2026-09-22T21:48:11.944Z,50vu,1-nodes,2166,6074
2026-09-22T21:48:27.359Z,50vu,1-nodes,2020,6155
2026-09-22T21:48:42.813Z,50vu,1-nodes,2048,6161
