ts,stage,pod,cpu_millicores,mem_mib
2026-09-22T21:41:43.101Z,50vu,lt-invoicerr-api-6948ddbcdd-7bv2z,952,521
2026-09-22T21:41:43.101Z,50vu,lt-invoicerr-api-6948ddbcdd-96w67,1015,524
2026-09-22T21:41:43.101Z,50vu,lt-invoicerr-api-6948ddbcdd-bqvjr,971,562
2026-09-22T21:41:43.101Z,50vu,lt-invoicerr-api-6948ddbcdd-gjrvv,974,526
2026-09-22T21:41:43.101Z,50vu,lt-invoicerr-api-6948ddbcdd-jk7dk,2,536
2026-09-22T21:41:43.101Z,50vu,lt-invoicerr-api-6948ddbcdd-zn227,982,520
2026-09-22T21:41:43.101Z,50vu,lt-invoicerr-ocr-67dfc6f76c-6k44m,1,16
2026-09-22T21:41:43.101Z,50vu,lt-invoicerr-postgres-6f67654f68-97vb6,27,60
2026-09-22T21:41:43.101Z,50vu,lt-invoicerr-redis-64c5d7869-8z9jf,8,13
2026-09-22T21:41:43.101Z,50vu,lt-invoicerr-worker-54598dfbcd-d4gzd,2,523
2026-09-22T21:41:43.101Z,50vu,lt-invoicerr-worker-54598dfbcd-tdpnh,2,458
2026-09-22T21:41:43.101Z,50vu,lt-invoicerr-worker-54598dfbcd-wj7wh,2,474
2026-09-22T21:41:43.101Z,50vu,mailpit-dd68cc87d-q44v7,0,31
2026-09-22T21:41:59.210Z,50vu,lt-invoicerr-api-6948ddbcdd-7bv2z,1,521
2026-09-22T21:41:59.210Z,50vu,lt-invoicerr-api-6948ddbcdd-96w67,243,576
2026-09-22T21:41:59.210Z,50vu,lt-invoicerr-api-6948ddbcdd-bqvjr,498,820
2026-09-22T21:41:59.210Z,50vu,lt-invoicerr-api-6948ddbcdd-gjrvv,510,586
2026-09-22T21:41:59.210Z,50vu,lt-invoicerr-api-6948ddbcdd-jk7dk,63,554
2026-09-22T21:41:59.210Z,50vu,lt-invoicerr-api-6948ddbcdd-zn227,195,535
2026-09-22T21:41:59.210Z,50vu,lt-invoicerr-ocr-67dfc6f76c-6k44m,1,16
2026-09-22T21:41:59.210Z,50vu,lt-invoicerr-postgres-6f67654f68-97vb6,119,81
2026-09-22T21:41:59.210Z,50vu,lt-invoicerr-redis-64c5d7869-8z9jf,6,19
2026-09-22T21:41:59.210Z,50vu,lt-invoicerr-worker-54598dfbcd-d4gzd,49,542
2026-09-22T21:41:59.210Z,50vu,lt-invoicerr-worker-54598dfbcd-tdpnh,51,483
2026-09-22T21:41:59.210Z,50vu,lt-invoicerr-worker-54598dfbcd-wj7wh,2,474
2026-09-22T21:41:59.210Z,50vu,mailpit-dd68cc87d-q44v7,0,31
2026-09-22T21:42:14.999Z,50vu,lt-invoicerr-api-6948ddbcdd-7bv2z,629,568
2026-09-22T21:42:14.999Z,50vu,lt-invoicerr-api-6948ddbcdd-96w67,499,562
2026-09-22T21:42:14.999Z,50vu,lt-invoicerr-api-6948ddbcdd-bqvjr,498,820
2026-09-22T21:42:14.999Z,50vu,lt-invoicerr-api-6948ddbcdd-gjrvv,510,586
2026-09-22T21:42:14.999Z,50vu,lt-invoicerr-api-6948ddbcdd-jk7dk,583,579
2026-09-22T21:42:14.999Z,50vu,lt-invoicerr-api-6948ddbcdd-zn227,557,560
2026-09-22T21:42:14.999Z,50vu,lt-invoicerr-ocr-67dfc6f76c-6k44m,1,16
2026-09-22T21:42:14.999Z,50vu,lt-invoicerr-postgres-6f67654f68-97vb6,260,197
2026-09-22T21:42:14.999Z,50vu,lt-invoicerr-redis-64c5d7869-8z9jf,22,19
2026-09-22T21:42:14.999Z,50vu,lt-invoicerr-worker-54598dfbcd-d4gzd,683,522
2026-09-22T21:42:14.999Z,50vu,lt-invoicerr-worker-54598dfbcd-tdpnh,696,488
2026-09-22T21:42:14.999Z,50vu,lt-invoicerr-worker-54598dfbcd-wj7wh,178,478
2026-09-22T21:42:14.999Z,50vu,mailpit-dd68cc87d-q44v7,15,61
2026-09-22T21:42:30.873Z,50vu,lt-invoicerr-api-6948ddbcdd-7bv2z,600,590
2026-09-22T21:42:30.873Z,50vu,lt-invoicerr-api-6948ddbcdd-96w67,360,565
2026-09-22T21:42:30.873Z,50vu,lt-invoicerr-api-6948ddbcdd-bqvjr,671,626
2026-09-22T21:42:30.873Z,50vu,lt-invoicerr-api-6948ddbcdd-gjrvv,436,588
2026-09-22T21:42:30.873Z,50vu,lt-invoicerr-api-6948ddbcdd-jk7dk,430,594
2026-09-22T21:42:30.873Z,50vu,lt-invoicerr-api-6948ddbcdd-zn227,382,562
2026-09-22T21:42:30.873Z,50vu,lt-invoicerr-ocr-67dfc6f76c-6k44m,1,16
2026-09-22T21:42:30.873Z,50vu,lt-invoicerr-postgres-6f67654f68-97vb6,328,204
2026-09-22T21:42:30.873Z,50vu,lt-invoicerr-redis-64c5d7869-8z9jf,29,18
2026-09-22T21:42:30.873Z,50vu,lt-invoicerr-worker-54598dfbcd-d4gzd,715,521
2026-09-22T21:42:30.873Z,50vu,lt-invoicerr-worker-54598dfbcd-tdpnh,755,489
2026-09-22T21:42:30.873Z,50vu,lt-invoicerr-worker-54598dfbcd-wj7wh,718,495
2026-09-22T21:42:30.873Z,50vu,mailpit-dd68cc87d-q44v7,23,70
2026-09-22T21:42:46.488Z,50vu,lt-invoicerr-api-6948ddbcdd-7bv2z,779,632
2026-09-22T21:42:46.488Z,50vu,lt-invoicerr-api-6948ddbcdd-96w67,413,579
2026-09-22T21:42:46.488Z,50vu,lt-invoicerr-api-6948ddbcdd-bqvjr,671,626
2026-09-22T21:42:46.488Z,50vu,lt-invoicerr-api-6948ddbcdd-gjrvv,746,674
2026-09-22T21:42:46.488Z,50vu,lt-invoicerr-api-6948ddbcdd-jk7dk,399,611
2026-09-22T21:42:46.488Z,50vu,lt-invoicerr-api-6948ddbcdd-zn227,383,617
2026-09-22T21:42:46.488Z,50vu,lt-invoicerr-ocr-67dfc6f76c-6k44m,1,16
2026-09-22T21:42:46.488Z,50vu,lt-invoicerr-postgres-6f67654f68-97vb6,325,197
2026-09-22T21:42:46.488Z,50vu,lt-invoicerr-redis-64c5d7869-8z9jf,28,19
2026-09-22T21:42:46.488Z,50vu,lt-invoicerr-worker-54598dfbcd-d4gzd,746,522
