ts,stage,wait,active,delayed,prioritized,failed,pg_connections
2026-09-22T21:41:43.101Z,50vu,0,0,8,0,50,76
2026-09-22T21:41:59.210Z,50vu,37,3,8,0,50,69
2026-09-22T21:42:14.999Z,50vu,36,3,8,0,50,69
2026-09-22T21:42:30.873Z,50vu,40,3,8,0,50,63
2026-09-22T21:42:46.488Z,50vu,0,0,8,0,50,42
2026-09-22T21:43:02.026Z,50vu,0,0,8,0,50,30
2026-09-22T21:43:17.629Z,50vu,0,1,8,0,50,32
2026-09-22T21:43:33.099Z,50vu,0,0,8,0,50,32
2026-09-22T21:43:48.576Z,50vu,0,0,8,0,50,30
2026-09-22T21:44:04.050Z,50vu,0,0,8,0,50,33
2026-09-22T21:44:19.572Z,50vu,0,0,8,0,50,32
2026-09-22T21:44:35.103Z,50vu,0,0,8,0,50,31
2026-09-22T21:44:50.691Z,50vu,0,0,8,0,50,29
2026-09-22T21:45:06.104Z,50vu,0,1,8,0,50,29
2026-09-22T21:45:21.699Z,50vu,0,0,8,0,50,32
2026-09-22T21:45:37.213Z,50vu,0,0,8,0,50,33
2026-09-22T21:45:52.633Z,50vu,0,0,8,0,50,32
2026-09-22T21:46:08.016Z,50vu,0,0,8,0,50,34
2026-09-22T21:46:23.467Z,50vu,0,0,8,0,50,33
2026-09-22T21:46:38.946Z,50vu,0,0,8,0,50,31
2026-09-22T21:46:54.414Z,50vu,0,0,8,0,50,20
2026-09-22T21:47:09.853Z,50vu,0,0,8,0,50,19
2026-09-22T21:47:25.310Z,50vu,0,0,8,0,50,17
2026-09-22T21:47:40.731Z,50vu,0,0,8,0,50,16
2026-09-22T21:47:56.483Z,50vu,0,0,8,0,50,16
2026-09-22T21:48:11.944Z,50vu,0,0,8,0,50,18
2026-09-22T21:48:27.359Z,50vu,0,0,8,0,50,15
2026-09-22T21:48:42.813Z,50vu,0,0,8,0,50,14
