ts,stage,node,cpu_millicores,mem_mib
2026-09-22T22:38:02.258Z,50vu,2-nodes,492,5602
2026-09-22T22:38:17.912Z,50vu,2-nodes,649,5618
2026-09-22T22:38:33.316Z,50vu,2-nodes,5485,6002
2026-09-22T22:38:48.899Z,50vu,2-nodes,5453,6131
2026-09-22T22:39:04.466Z,50vu,2-nodes,5904,6073
2026-09-22T22:39:20.071Z,50vu,2-nodes,6224,6255
2026-09-22T22:39:35.639Z,50vu,2-nodes,4585,6196
2026-09-22T22:39:51.131Z,50vu,2-nodes,3840,6353
2026-09-22T22:40:06.726Z,50vu,2-nodes,3914,6413
2026-09-22T22:40:22.314Z,50vu,2-nodes,3651,6354
2026-09-22T22:40:37.829Z,50vu,2-nodes,3737,6253
2026-09-22T22:40:53.352Z,50vu,2-nodes,4040,6259
2026-09-22T22:41:08.897Z,50vu,2-nodes,3832,6293
2026-09-22T22:42:10.379Z,50vu,1-nodes,2695,4824
2026-09-22T22:42:25.806Z,50vu,1-nodes,3010,4922
2026-09-22T22:42:41.329Z,50vu,1-nodes,3636,4701
2026-09-22T22:42:56.746Z,50vu,1-nodes,2918,4736
2026-09-22T22:43:12.253Z,50vu,1-nodes,2967,4839
2026-09-22T22:43:27.727Z,50vu,1-nodes,2083,4772
2026-09-22T22:43:43.172Z,50vu,1-nodes,2002,4777
2026-09-22T22:43:58.656Z,50vu,1-nodes,1964,4790
2026-09-22T22:44:14.131Z,50vu,1-nodes,1965,4697
2026-09-22T22:44:29.609Z,50vu,1-nodes,1866,4862
2026-09-22T22:44:45.036Z,50vu,1-nodes,1893,4918
2026-09-22T22:45:00.522Z,50vu,1-nodes,1895,4767
