ts,stage,pod,cpu_millicores,mem_mib
2026-09-22T22:38:02.258Z,50vu,lt-invoicerr-api-644585775f-4nsjs,23,532
2026-09-22T22:38:02.258Z,50vu,lt-invoicerr-api-644585775f-6tbjv,2,473
2026-09-22T22:38:02.258Z,50vu,lt-invoicerr-api-644585775f-zjkw7,90,532
2026-09-22T22:38:02.258Z,50vu,lt-invoicerr-ocr-67dfc6f76c-8qclt,1,14
2026-09-22T22:38:02.258Z,50vu,lt-invoicerr-postgres-6f67654f68-4k8pg,24,58
2026-09-22T22:38:02.258Z,50vu,lt-invoicerr-redis-64c5d7869-mf5df,10,10
2026-09-22T22:38:02.258Z,50vu,lt-invoicerr-worker-69b596b5f6-94nsx,5,422
2026-09-22T22:38:02.258Z,50vu,lt-invoicerr-worker-69b596b5f6-blhff,2,473
2026-09-22T22:38:02.258Z,50vu,lt-invoicerr-worker-69b596b5f6-fm42p,2,474
2026-09-22T22:38:02.258Z,50vu,mailpit-dd68cc87d-rqrjd,1,15
2026-09-22T22:38:17.912Z,50vu,lt-invoicerr-api-644585775f-4nsjs,2,532
2026-09-22T22:38:17.912Z,50vu,lt-invoicerr-api-644585775f-6tbjv,3,474
2026-09-22T22:38:17.912Z,50vu,lt-invoicerr-api-644585775f-zjkw7,238,535
2026-09-22T22:38:17.912Z,50vu,lt-invoicerr-ocr-67dfc6f76c-8qclt,1,14
2026-09-22T22:38:17.912Z,50vu,lt-invoicerr-postgres-6f67654f68-4k8pg,20,54
2026-09-22T22:38:17.912Z,50vu,lt-invoicerr-redis-64c5d7869-mf5df,9,10
2026-09-22T22:38:17.912Z,50vu,lt-invoicerr-worker-69b596b5f6-94nsx,2,422
2026-09-22T22:38:17.912Z,50vu,lt-invoicerr-worker-69b596b5f6-blhff,3,473
2026-09-22T22:38:17.912Z,50vu,lt-invoicerr-worker-69b596b5f6-fm42p,2,474
2026-09-22T22:38:17.912Z,50vu,mailpit-dd68cc87d-rqrjd,0,15
2026-09-22T22:38:33.316Z,50vu,lt-invoicerr-api-644585775f-4nsjs,736,558
2026-09-22T22:38:33.316Z,50vu,lt-invoicerr-api-644585775f-6tbjv,1036,550
2026-09-22T22:38:33.316Z,50vu,lt-invoicerr-api-644585775f-zjkw7,238,535
2026-09-22T22:38:33.316Z,50vu,lt-invoicerr-ocr-67dfc6f76c-8qclt,1,14
2026-09-22T22:38:33.316Z,50vu,lt-invoicerr-postgres-6f67654f68-4k8pg,273,125
