ts,stage,wait,active,delayed,prioritized,failed,pg_connections
2026-09-22T22:38:02.258Z,50vu,0,0,8,0,0,48
2026-09-22T22:38:17.912Z,50vu,44,3,8,0,0,29
2026-09-22T22:38:33.316Z,50vu,40,3,8,0,0,38
2026-09-22T22:38:48.899Z,50vu,39,3,8,0,0,34
2026-09-22T22:39:04.466Z,50vu,41,3,6,0,0,39
2026-09-22T22:39:20.071Z,50vu,0,1,8,0,0,33
2026-09-22T22:39:35.639Z,50vu,0,0,8,0,0,23
2026-09-22T22:39:51.131Z,50vu,0,2,8,0,0,24
2026-09-22T22:40:06.726Z,50vu,0,0,8,0,0,24
2026-09-22T22:40:22.314Z,50vu,0,0,8,0,0,22
2026-09-22T22:40:37.829Z,50vu,0,2,8,0,0,27
2026-09-22T22:40:53.352Z,50vu,0,1,8,0,0,23
2026-09-22T22:41:08.897Z,50vu,0,1,8,0,0,17
2026-09-22T22:41:24.869Z,50vu,0,0,8,0,0,24
2026-09-22T22:42:10.379Z,50vu,0,0,8,0,0,14
2026-09-22T22:42:25.806Z,50vu,0,3,8,0,0,41
2026-09-22T22:42:41.329Z,50vu,0,1,8,0,0,25
2026-09-22T22:42:56.746Z,50vu,0,1,8,0,0,27
2026-09-22T22:43:12.253Z,50vu,0,0,8,0,0,15
2026-09-22T22:43:27.727Z,50vu,0,0,8,0,0,13
2026-09-22T22:43:43.172Z,50vu,0,0,8,0,0,15
2026-09-22T22:43:58.656Z,50vu,0,0,8,0,0,11
2026-09-22T22:44:14.131Z,50vu,0,0,8,0,0,12
2026-09-22T22:44:29.609Z,50vu,0,0,8,0,0,11
2026-09-22T22:44:45.036Z,50vu,0,0,8,0,0,12
2026-09-22T22:45:00.522Z,50vu,0,0,8,0,0,14
