ts,stage,node,cpu_millicores,mem_mib
2026-09-22T22:01:37.341Z,50vu,2-nodes,356,3901
2026-09-22T22:01:53.333Z,50vu,2-nodes,1680,4193
2026-09-22T22:02:08.978Z,50vu,2-nodes,5769,4400
2026-09-22T22:02:24.553Z,50vu,2-nodes,5923,4420
2026-09-22T22:02:40.053Z,50vu,2-nodes,5920,4409
2026-09-22T22:02:55.573Z,50vu,2-nodes,6243,4473
2026-09-22T22:03:10.922Z,50vu,2-nodes,4197,4606
2026-09-22T22:03:26.353Z,50vu,2-nodes,4101,4459
2026-09-22T22:03:41.865Z,50vu,2-nodes,3954,4395
2026-09-22T22:03:57.403Z,50vu,2-nodes,4157,4679
2026-09-22T22:04:12.869Z,50vu,2-nodes,3957,4511
2026-09-22T22:04:28.278Z,50vu,2-nodes,4179,4499
2026-09-22T22:04:43.767Z,50vu,2-nodes,4065,4425
2026-09-22T22:04:59.323Z,50vu,2-nodes,4182,4520
2026-09-22T22:05:14.807Z,50vu,2-nodes,3847,4556
2026-09-22T22:05:30.309Z,50vu,2-nodes,4054,4431
2026-09-22T22:05:46.169Z,50vu,2-nodes,3910,4532
2026-09-22T22:06:01.659Z,50vu,2-nodes,4150,4606
2026-09-22T22:06:17.082Z,50vu,2-nodes,4279,4508
2026-09-22T22:06:32.522Z,50vu,2-nodes,4322,4482
2026-09-22T22:06:48.036Z,50vu,2-nodes,3815,4421
2026-09-22T22:07:03.501Z,50vu,2-nodes,2064,4580
2026-09-22T22:07:19.009Z,50vu,2-nodes,1955,4491
2026-09-22T22:07:34.477Z,50vu,2-nodes,1956,4431
2026-09-22T22:07:49.936Z,50vu,2-nodes,1934,4399
2026-09-22T22:08:05.462Z,50vu,2-nodes,1829,4578
2026-09-22T22:08:20.940Z,50vu,2-nodes,1757,4543
2026-09-22T22:08:36.376Z,50vu,2-nodes,1861,4445
