ts,stage,pod,cpu_millicores,mem_mib
2026-09-22T22:01:37.341Z,50vu,lt-invoicerr-api-64cb4f898f-fn5qg,21,526
2026-09-22T22:01:37.341Z,50vu,lt-invoicerr-api-64cb4f898f-p29dc,19,460
2026-09-22T22:01:37.341Z,50vu,lt-invoicerr-api-64cb4f898f-t887q,2,495
2026-09-22T22:01:37.341Z,50vu,lt-invoicerr-ocr-5845b7c897-vjk7j,1,13
2026-09-22T22:01:37.341Z,50vu,lt-invoicerr-postgres-6f67654f68-9j5l7,26,49
2026-09-22T22:01:37.341Z,50vu,lt-invoicerr-redis-64c5d7869-9pc88,10,10
2026-09-22T22:01:37.341Z,50vu,lt-invoicerr-worker-6d7f4b65-cn5nh,2,469
2026-09-22T22:01:37.341Z,50vu,lt-invoicerr-worker-6d7f4b65-fqz4v,3,480
2026-09-22T22:01:37.341Z,50vu,lt-invoicerr-worker-6d7f4b65-pqxs9,2,473
2026-09-22T22:01:37.341Z,50vu,mailpit-dd68cc87d-qzgsb,0,7
2026-09-22T22:01:53.333Z,50vu,lt-invoicerr-api-64cb4f898f-fn5qg,28,527
2026-09-22T22:01:53.333Z,50vu,lt-invoicerr-api-64cb4f898f-p29dc,423,599
2026-09-22T22:01:53.333Z,50vu,lt-invoicerr-api-64cb4f898f-t887q,23,496
2026-09-22T22:01:53.333Z,50vu,lt-invoicerr-ocr-5845b7c897-vjk7j,1,13
2026-09-22T22:01:53.333Z,50vu,lt-invoicerr-postgres-6f67654f68-9j5l7,93,138
2026-09-22T22:01:53.333Z,50vu,lt-invoicerr-redis-64c5d7869-9pc88,8,10
2026-09-22T22:01:53.333Z,50vu,lt-invoicerr-worker-6d7f4b65-cn5nh,2,469
2026-09-22T22:01:53.333Z,50vu,lt-invoicerr-worker-6d7f4b65-fqz4v,2,480
2026-09-22T22:01:53.333Z,50vu,lt-invoicerr-worker-6d7f4b65-pqxs9,40,491
2026-09-22T22:01:53.333Z,50vu,mailpit-dd68cc87d-qzgsb,1,9
2026-09-22T22:02:08.978Z,50vu,lt-invoicerr-api-64cb4f898f-fn5qg,902,597
2026-09-22T22:02:08.978Z,50vu,lt-invoicerr-api-64cb4f898f-p29dc,423,599
2026-09-22T22:02:08.978Z,50vu,lt-invoicerr-api-64cb4f898f-t887q,1093,569
2026-09-22T22:02:08.978Z,50vu,lt-invoicerr-ocr-5845b7c897-vjk7j,1,13
2026-09-22T22:02:08.978Z,50vu,lt-invoicerr-postgres-6f67654f68-9j5l7,93,138
2026-09-22T22:02:08.978Z,50vu,lt-invoicerr-redis-64c5d7869-9pc88,26,10
2026-09-22T22:02:08.978Z,50vu,lt-invoicerr-worker-6d7f4b65-cn5nh,461,501
2026-09-22T22:02:08.978Z,50vu,lt-invoicerr-worker-6d7f4b65-fqz4v,262,535
2026-09-22T22:02:08.978Z,50vu,lt-invoicerr-worker-6d7f4b65-pqxs9,666,504
2026-09-22T22:02:08.978Z,50vu,mailpit-dd68cc87d-qzgsb,18,36
2026-09-22T22:02:24.553Z,50vu,lt-invoicerr-api-64cb4f898f-fn5qg,1053,595
2026-09-22T22:02:24.553Z,50vu,lt-invoicerr-api-64cb4f898f-p29dc,1074,573
2026-09-22T22:02:24.553Z,50vu,lt-invoicerr-api-64cb4f898f-t887q,1004,574
