ts,stage,wait,active,delayed,prioritized,failed,pg_connections
2026-09-22T22:01:37.341Z,50vu,0,0,8,0,0,46
2026-09-22T22:01:53.333Z,50vu,40,3,8,0,0,39
2026-09-22T22:02:08.978Z,50vu,41,3,6,0,0,43
2026-09-22T22:02:24.553Z,50vu,36,3,8,0,0,42
2026-09-22T22:02:40.053Z,50vu,0,1,8,0,0,36
2026-09-22T22:02:55.573Z,50vu,0,2,8,0,0,24
2026-09-22T22:03:10.922Z,50vu,0,0,8,0,0,23
2026-09-22T22:03:26.353Z,50vu,0,0,8,0,0,25
2026-09-22T22:03:41.865Z,50vu,0,1,8,0,0,23
2026-09-22T22:03:57.403Z,50vu,0,0,8,0,0,24
2026-09-22T22:04:12.869Z,50vu,0,0,8,0,0,26
2026-09-22T22:04:28.278Z,50vu,0,0,8,0,0,27
2026-09-22T22:04:43.767Z,50vu,0,1,8,0,0,28
2026-09-22T22:04:59.323Z,50vu,0,0,8,0,0,26
2026-09-22T22:05:14.807Z,50vu,0,0,8,0,0,24
2026-09-22T22:05:30.309Z,50vu,0,0,8,0,0,23
2026-09-22T22:05:46.169Z,50vu,0,1,8,0,0,26
2026-09-22T22:06:01.659Z,50vu,0,0,8,0,0,23
2026-09-22T22:06:17.082Z,50vu,0,2,8,0,0,21
2026-09-22T22:06:32.522Z,50vu,0,0,8,0,0,25
2026-09-22T22:06:48.036Z,50vu,0,0,8,0,0,12
2026-09-22T22:07:03.501Z,50vu,0,0,8,0,0,13
2026-09-22T22:07:19.009Z,50vu,0,0,8,0,0,11
2026-09-22T22:07:34.477Z,50vu,0,0,8,0,0,12
2026-09-22T22:07:49.936Z,50vu,0,0,8,0,0,10
2026-09-22T22:08:05.462Z,50vu,0,0,8,0,0,10
2026-09-22T22:08:20.940Z,50vu,0,0,8,0,0,10
2026-09-22T22:08:36.376Z,50vu,0,0,8,0,0,9
