ts,stage,node,cpu_millicores,mem_mib
2026-09-22T22:59:32.010Z,50vu,1-nodes,258,4335
2026-09-22T22:59:49.935Z,50vu,1-nodes,243,4335
2026-09-22T23:00:13.389Z,50vu,1-nodes,1985,4617
2026-09-22T23:00:32.920Z,50vu,1-nodes,1937,4717
2026-09-22T23:00:50.017Z,50vu,1-nodes,1993,4755
2026-09-22T23:01:07.556Z,50vu,1-nodes,1993,4723
2026-09-22T23:01:23.967Z,50vu,1-nodes,1995,4744
2026-09-22T23:01:40.805Z,50vu,1-nodes,1991,4758
2026-09-22T23:01:57.469Z,50vu,1-nodes,1995,4769
2026-09-22T23:02:14.302Z,50vu,1-nodes,1995,4744
2026-09-22T23:02:33.643Z,50vu,1-nodes,1995,4765
2026-09-22T23:02:49.206Z,50vu,1-nodes,1693,4647
2026-09-22T23:03:05.499Z,50vu,1-nodes,1255,4671
2026-09-22T23:03:21.492Z,50vu,1-nodes,1982,4671
2026-09-22T23:03:37.283Z,50vu,1-nodes,1995,4713
2026-09-22T23:03:53.339Z,50vu,1-nodes,1994,4711
2026-09-22T23:04:09.643Z,50vu,1-nodes,1993,4716
2026-09-22T23:04:26.508Z,50vu,1-nodes,1983,4717
2026-09-22T23:04:42.642Z,50vu,1-nodes,1773,4726
2026-09-22T23:04:58.489Z,50vu,1-nodes,1092,4720
2026-09-22T23:05:14.295Z,50vu,1-nodes,1064,4646
2026-09-22T23:05:29.798Z,50vu,1-nodes,698,4648
