ts,stage,pod,cpu_millicores,mem_mib
2026-09-22T22:59:32.010Z,50vu,lt-invoicerr-api-f9895cfb9-9zcxf,1,504
2026-09-22T22:59:32.010Z,50vu,lt-invoicerr-api-f9895cfb9-nm29x,10,480
2026-09-22T22:59:32.010Z,50vu,lt-invoicerr-api-f9895cfb9-xcqgc,30,446
2026-09-22T22:59:32.010Z,50vu,lt-invoicerr-ocr-67dfc6f76c-t8szr,1,13
2026-09-22T22:59:32.010Z,50vu,lt-invoicerr-postgres-6f67654f68-48ckz,20,57
2026-09-22T22:59:32.010Z,50vu,lt-invoicerr-redis-64c5d7869-lvr6s,9,23
2026-09-22T22:59:32.010Z,50vu,lt-invoicerr-worker-69b596b5f6-9lw5h,2,501
2026-09-22T22:59:32.010Z,50vu,lt-invoicerr-worker-69b596b5f6-kbkgn,3,454
2026-09-22T22:59:32.010Z,50vu,lt-invoicerr-worker-69b596b5f6-rbwcp,2,489
2026-09-22T22:59:32.010Z,50vu,mailpit-dd68cc87d-bq9vd,1,5
2026-09-22T22:59:49.935Z,50vu,lt-invoicerr-api-f9895cfb9-9zcxf,148,512
2026-09-22T22:59:49.935Z,50vu,lt-invoicerr-api-f9895cfb9-nm29x,221,511
2026-09-22T22:59:49.935Z,50vu,lt-invoicerr-api-f9895cfb9-xcqgc,19,447
2026-09-22T22:59:49.935Z,50vu,lt-invoicerr-ocr-67dfc6f76c-t8szr,1,13
2026-09-22T22:59:49.935Z,50vu,lt-invoicerr-postgres-6f67654f68-48ckz,90,130
2026-09-22T22:59:49.935Z,50vu,lt-invoicerr-redis-64c5d7869-lvr6s,9,23
2026-09-22T22:59:49.935Z,50vu,lt-invoicerr-worker-69b596b5f6-9lw5h,2,501
2026-09-22T22:59:49.935Z,50vu,lt-invoicerr-worker-69b596b5f6-kbkgn,2,454
2026-09-22T22:59:49.935Z,50vu,lt-invoicerr-worker-69b596b5f6-rbwcp,2,489
2026-09-22T22:59:49.935Z,50vu,mailpit-dd68cc87d-bq9vd,0,5
2026-09-22T23:00:13.389Z,50vu,lt-invoicerr-api-f9895cfb9-9zcxf,352,563
2026-09-22T23:00:13.389Z,50vu,lt-invoicerr-api-f9895cfb9-nm29x,301,510
2026-09-22T23:00:13.389Z,50vu,lt-invoicerr-api-f9895cfb9-xcqgc,576,470
2026-09-22T23:00:13.389Z,50vu,lt-invoicerr-ocr-67dfc6f76c-t8szr,1,13
2026-09-22T23:00:13.389Z,50vu,lt-invoicerr-postgres-6f67654f68-48ckz,117,127
2026-09-22T23:00:13.389Z,50vu,lt-invoicerr-redis-64c5d7869-lvr6s,12,23
2026-09-22T23:00:13.389Z,50vu,lt-invoicerr-worker-69b596b5f6-9lw5h,97,507
2026-09-22T23:00:13.389Z,50vu,lt-invoicerr-worker-69b596b5f6-kbkgn,216,476
2026-09-22T23:00:13.389Z,50vu,lt-invoicerr-worker-69b596b5f6-rbwcp,24,525
2026-09-22T23:00:13.389Z,50vu,mailpit-dd68cc87d-bq9vd,3,26
2026-09-22T23:00:32.920Z,50vu,lt-invoicerr-api-f9895cfb9-9zcxf,378,598
2026-09-22T23:00:32.920Z,50vu,lt-invoicerr-api-f9895cfb9-nm29x,495,513
2026-09-22T23:00:32.920Z,50vu,lt-invoicerr-api-f9895cfb9-xcqgc,351,490
2026-09-22T23:00:32.920Z,50vu,lt-invoicerr-ocr-67dfc6f76c-t8szr,1,13
2026-09-22T23:00:32.920Z,50vu,lt-invoicerr-postgres-6f67654f68-48ckz,138,144
2026-09-22T23:00:32.920Z,50vu,lt-invoicerr-redis-64c5d7869-lvr6s,16,23
2026-09-22T23:00:32.920Z,50vu,lt-invoicerr-worker-69b596b5f6-9lw5h,136,516
2026-09-22T23:00:32.920Z,50vu,lt-invoicerr-worker-69b596b5f6-kbkgn,347,481
2026-09-22T23:00:32.920Z,50vu,lt-invoicerr-worker-69b596b5f6-rbwcp,94,531
2026-09-22T23:00:32.920Z,50vu,mailpit-dd68cc87d-bq9vd,7,40
2026-09-22T23:00:50.017Z,50vu,lt-invoicerr-api-f9895cfb9-9zcxf,378,598
2026-09-22T23:00:50.017Z,50vu,lt-invoicerr-api-f9895cfb9-nm29x,102,514
2026-09-22T23:00:50.017Z,50vu,lt-invoicerr-api-f9895cfb9-xcqgc,624,512
2026-09-22T23:00:50.017Z,50vu,lt-invoicerr-ocr-67dfc6f76c-t8szr,1,13
2026-09-22T23:00:50.017Z,50vu,lt-invoicerr-postgres-6f67654f68-48ckz,137,153
2026-09-22T23:00:50.017Z,50vu,lt-invoicerr-redis-64c5d7869-lvr6s,17,23
2026-09-22T23:00:50.017Z,50vu,lt-invoicerr-worker-69b596b5f6-9lw5h,199,519
2026-09-22T23:00:50.017Z,50vu,lt-invoicerr-worker-69b596b5f6-kbkgn,214,508
2026-09-22T23:00:50.017Z,50vu,lt-invoicerr-worker-69b596b5f6-rbwcp,210,508
2026-09-22T23:00:50.017Z,50vu,mailpit-dd68cc87d-bq9vd,7,46
2026-09-22T23:01:07.556Z,50vu,lt-invoicerr-api-f9895cfb9-9zcxf,454,583
2026-09-22T23:01:07.556Z,50vu,lt-invoicerr-api-f9895cfb9-nm29x,72,514
2026-09-22T23:01:07.556Z,50vu,lt-invoicerr-api-f9895cfb9-xcqgc,246,508
2026-09-22T23:01:07.556Z,50vu,lt-invoicerr-ocr-67dfc6f76c-t8szr,1,13
2026-09-22T23:01:07.556Z,50vu,lt-invoicerr-postgres-6f67654f68-48ckz,126,151
2026-09-22T23:01:07.556Z,50vu,lt-invoicerr-redis-64c5d7869-lvr6s,18,23
2026-09-22T23:01:07.556Z,50vu,lt-invoicerr-worker-69b596b5f6-9lw5h,226,522
2026-09-22T23:01:07.556Z,50vu,lt-invoicerr-worker-69b596b5f6-kbkgn,226,488
2026-09-22T23:01:07.556Z,50vu,lt-invoicerr-worker-69b596b5f6-rbwcp,222,511
2026-09-22T23:01:07.556Z,50vu,mailpit-dd68cc87d-bq9vd,7,46
2026-09-22T23:01:23.967Z,50vu,lt-invoicerr-api-f9895cfb9-9zcxf,298,641
2026-09-22T23:01:23.967Z,50vu,lt-invoicerr-api-f9895cfb9-nm29x,480,510
2026-09-22T23:01:23.967Z,50vu,lt-invoicerr-api-f9895cfb9-xcqgc,344,515
2026-09-22T23:01:23.967Z,50vu,lt-invoicerr-ocr-67dfc6f76c-t8szr,1,13
2026-09-22T23:01:23.967Z,50vu,lt-invoicerr-postgres-6f67654f68-48ckz,133,148
2026-09-22T23:01:23.967Z,50vu,lt-invoicerr-redis-64c5d7869-lvr6s,17,23
2026-09-22T23:01:23.967Z,50vu,lt-invoicerr-worker-69b596b5f6-9lw5h,247,527
2026-09-22T23:01:23.967Z,50vu,lt-invoicerr-worker-69b596b5f6-kbkgn,201,489
2026-09-22T23:01:23.967Z,50vu,lt-invoicerr-worker-69b596b5f6-rbwcp,216,516
2026-09-22T23:01:23.967Z,50vu,mailpit-dd68cc87d-bq9vd,6,46
2026-09-22T23:01:40.805Z,50vu,lt-invoicerr-api-f9895cfb9-9zcxf,469,610
2026-09-22T23:01:40.805Z,50vu,lt-invoicerr-api-f9895cfb9-nm29x,72,507
2026-09-22T23:01:40.805Z,50vu,lt-invoicerr-api-f9895cfb9-xcqgc,590,513
2026-09-22T23:01:40.805Z,50vu,lt-invoicerr-ocr-67dfc6f76c-t8szr,1,13
2026-09-22T23:01:40.805Z,50vu,lt-invoicerr-postgres-6f67654f68-48ckz,132,150
2026-09-22T23:01:40.805Z,50vu,lt-invoicerr-redis-64c5d7869-lvr6s,14,23
2026-09-22T23:01:40.805Z,50vu,lt-invoicerr-worker-69b596b5f6-9lw5h,245,530
2026-09-22T23:01:40.805Z,50vu,lt-invoicerr-worker-69b596b5f6-kbkgn,182,486
2026-09-22T23:01:40.805Z,50vu,lt-invoicerr-worker-69b596b5f6-rbwcp,257,513
2026-09-22T23:01:40.805Z,50vu,mailpit-dd68cc87d-bq9vd,7,47
2026-09-22T23:01:57.469Z,50vu,lt-invoicerr-api-f9895cfb9-9zcxf,435,577
2026-09-22T23:01:57.469Z,50vu,lt-invoicerr-api-f9895cfb9-nm29x,500,513
2026-09-22T23:01:57.469Z,50vu,lt-invoicerr-api-f9895cfb9-xcqgc,281,515
2026-09-22T23:01:57.469Z,50vu,lt-invoicerr-ocr-67dfc6f76c-t8szr,1,13
2026-09-22T23:01:57.469Z,50vu,lt-invoicerr-postgres-6f67654f68-48ckz,138,147
2026-09-22T23:01:57.469Z,50vu,lt-invoicerr-redis-64c5d7869-lvr6s,19,23
2026-09-22T23:01:57.469Z,50vu,lt-invoicerr-worker-69b596b5f6-9lw5h,223,550
2026-09-22T23:01:57.469Z,50vu,lt-invoicerr-worker-69b596b5f6-kbkgn,236,497
2026-09-22T23:01:57.469Z,50vu,lt-invoicerr-worker-69b596b5f6-rbwcp,206,554
2026-09-22T23:01:57.469Z,50vu,mailpit-dd68cc87d-bq9vd,6,47
2026-09-22T23:02:14.302Z,50vu,lt-invoicerr-api-f9895cfb9-9zcxf,355,582
2026-09-22T23:02:14.302Z,50vu,lt-invoicerr-api-f9895cfb9-nm29x,281,508
2026-09-22T23:02:14.302Z,50vu,lt-invoicerr-api-f9895cfb9-xcqgc,281,515
2026-09-22T23:02:14.302Z,50vu,lt-invoicerr-ocr-67dfc6f76c-t8szr,1,13
2026-09-22T23:02:14.302Z,50vu,lt-invoicerr-postgres-6f67654f68-48ckz,129,154
2026-09-22T23:02:14.302Z,50vu,lt-invoicerr-redis-64c5d7869-lvr6s,16,23
2026-09-22T23:02:14.302Z,50vu,lt-invoicerr-worker-69b596b5f6-9lw5h,236,532
2026-09-22T23:02:14.302Z,50vu,lt-invoicerr-worker-69b596b5f6-kbkgn,236,497
2026-09-22T23:02:14.302Z,50vu,lt-invoicerr-worker-69b596b5f6-rbwcp,206,554
2026-09-22T23:02:14.302Z,50vu,mailpit-dd68cc87d-bq9vd,9,48
2026-09-22T23:02:33.643Z,50vu,lt-invoicerr-api-f9895cfb9-9zcxf,355,582
2026-09-22T23:02:33.643Z,50vu,lt-invoicerr-api-f9895cfb9-nm29x,80,510
2026-09-22T23:02:33.643Z,50vu,lt-invoicerr-api-f9895cfb9-xcqgc,524,527
2026-09-22T23:02:33.643Z,50vu,lt-invoicerr-ocr-67dfc6f76c-t8szr,1,13
2026-09-22T23:02:33.643Z,50vu,lt-invoicerr-postgres-6f67654f68-48ckz,129,159
2026-09-22T23:02:33.643Z,50vu,lt-invoicerr-redis-64c5d7869-lvr6s,19,33
2026-09-22T23:02:33.643Z,50vu,lt-invoicerr-worker-69b596b5f6-9lw5h,245,528
2026-09-22T23:02:33.643Z,50vu,lt-invoicerr-worker-69b596b5f6-kbkgn,189,487
2026-09-22T23:02:33.643Z,50vu,lt-invoicerr-worker-69b596b5f6-rbwcp,228,527
2026-09-22T23:02:33.643Z,50vu,mailpit-dd68cc87d-bq9vd,7,48
2026-09-22T23:02:49.206Z,50vu,lt-invoicerr-api-f9895cfb9-9zcxf,501,582
2026-09-22T23:02:49.206Z,50vu,lt-invoicerr-api-f9895cfb9-nm29x,126,510
2026-09-22T23:02:49.206Z,50vu,lt-invoicerr-api-f9895cfb9-xcqgc,424,524
2026-09-22T23:02:49.206Z,50vu,lt-invoicerr-ocr-67dfc6f76c-t8szr,1,13
2026-09-22T23:02:49.206Z,50vu,lt-invoicerr-postgres-6f67654f68-48ckz,133,28
2026-09-22T23:02:49.206Z,50vu,lt-invoicerr-redis-64c5d7869-lvr6s,18,23
2026-09-22T23:02:49.206Z,50vu,lt-invoicerr-worker-69b596b5f6-9lw5h,245,528
2026-09-22T23:02:49.206Z,50vu,lt-invoicerr-worker-69b596b5f6-kbkgn,188,488
2026-09-22T23:02:49.206Z,50vu,lt-invoicerr-worker-69b596b5f6-rbwcp,145,513
2026-09-22T23:02:49.206Z,50vu,mailpit-dd68cc87d-bq9vd,4,48
2026-09-22T23:03:05.499Z,50vu,lt-invoicerr-api-f9895cfb9-9zcxf,311,582
2026-09-22T23:03:05.499Z,50vu,lt-invoicerr-api-f9895cfb9-nm29x,150,513
2026-09-22T23:03:05.499Z,50vu,lt-invoicerr-api-f9895cfb9-xcqgc,38,522
2026-09-22T23:03:05.499Z,50vu,lt-invoicerr-ocr-67dfc6f76c-t8szr,1,13
2026-09-22T23:03:05.499Z,50vu,lt-invoicerr-postgres-6f67654f68-48ckz,597,40
2026-09-22T23:03:05.499Z,50vu,lt-invoicerr-redis-64c5d7869-lvr6s,21,24
2026-09-22T23:03:05.499Z,50vu,lt-invoicerr-worker-69b596b5f6-9lw5h,53,528
2026-09-22T23:03:05.499Z,50vu,lt-invoicerr-worker-69b596b5f6-kbkgn,18,486
2026-09-22T23:03:05.499Z,50vu,lt-invoicerr-worker-69b596b5f6-rbwcp,26,513
2026-09-22T23:03:05.499Z,50vu,mailpit-dd68cc87d-bq9vd,0,48
2026-09-22T23:03:21.492Z,50vu,lt-invoicerr-api-f9895cfb9-9zcxf,311,582
2026-09-22T23:03:21.492Z,50vu,lt-invoicerr-api-f9895cfb9-nm29x,383,519
