ts,stage,wait,active,delayed,prioritized,failed,pg_connections
2026-09-22T22:59:32.010Z,50vu,0,0,8,0,0,46
2026-09-22T22:59:49.935Z,50vu,6,3,8,0,0,40
2026-09-22T23:00:13.389Z,50vu,44,3,3,0,0,49
2026-09-22T23:00:32.920Z,50vu,45,3,3,0,0,52
2026-09-22T23:00:50.017Z,50vu,41,3,8,0,0,50
2026-09-22T23:01:07.556Z,50vu,45,3,6,0,0,50
2026-09-22T23:01:23.967Z,50vu,43,3,6,0,0,52
2026-09-22T23:01:40.805Z,50vu,44,3,6,0,0,50
2026-09-22T23:01:57.469Z,50vu,40,3,8,0,0,51
2026-09-22T23:02:14.302Z,50vu,39,3,6,0,0,52
2026-09-22T23:02:33.643Z,50vu,0,3,48,0,0,1
2026-09-22T23:02:49.206Z,50vu,0,0,8,0,43,6
2026-09-22T23:03:05.499Z,50vu,0,0,8,0,43,6
2026-09-22T23:03:21.492Z,50vu,0,0,8,0,43,8
2026-09-22T23:03:37.283Z,50vu,0,0,8,0,43,5
2026-09-22T23:03:53.339Z,50vu,0,0,8,0,43,5
2026-09-22T23:04:09.643Z,50vu,0,0,8,0,43,8
2026-09-22T23:04:26.508Z,50vu,0,0,8,0,43,5
2026-09-22T23:04:42.642Z,50vu,0,0,8,0,43,5
2026-09-22T23:04:58.489Z,50vu,0,0,8,0,43,4
2026-09-22T23:05:14.295Z,50vu,0,0,8,0,43,4
2026-09-22T23:05:29.798Z,50vu,0,0,8,0,43,4
