ts,stage,node,cpu_millicores,mem_mib
2026-09-22T22:58:30.851Z,50vu,2-nodes,397,4672
2026-09-22T22:58:47.091Z,50vu,2-nodes,1022,4880
2026-09-22T22:59:02.916Z,50vu,2-nodes,4037,4958
2026-09-22T22:59:18.973Z,50vu,2-nodes,3923,5159
2026-09-22T22:59:34.813Z,50vu,2-nodes,3987,5175
2026-09-22T22:59:50.579Z,50vu,2-nodes,4020,5183
2026-09-22T23:00:06.642Z,50vu,2-nodes,4008,5205
2026-09-22T23:00:22.579Z,50vu,2-nodes,4486,5309
2026-09-22T23:00:38.392Z,50vu,2-nodes,4633,5243
2026-09-22T23:00:54.107Z,50vu,2-nodes,3859,5278
2026-09-22T23:01:09.852Z,50vu,2-nodes,3679,5282
2026-09-22T23:01:25.502Z,50vu,2-nodes,3815,5272
2026-09-22T23:01:41.189Z,50vu,2-nodes,3646,5290
2026-09-22T23:01:56.995Z,50vu,2-nodes,3933,5257
2026-09-22T23:02:12.591Z,50vu,2-nodes,3678,5364
2026-09-22T23:02:28.226Z,50vu,2-nodes,3661,5449
2026-09-22T23:02:43.859Z,50vu,2-nodes,3805,5367
2026-09-22T23:02:59.512Z,50vu,2-nodes,3558,5410
2026-09-22T23:03:15.128Z,50vu,2-nodes,3636,5345
2026-09-22T23:03:30.789Z,50vu,2-nodes,3841,5333
2026-09-22T23:03:46.351Z,50vu,2-nodes,3322,5237
2026-09-22T23:04:01.960Z,50vu,2-nodes,2060,5238
2026-09-22T23:04:17.506Z,50vu,2-nodes,2078,5276
2026-09-22T23:04:33.050Z,50vu,2-nodes,1930,5230
2026-09-22T23:04:48.535Z,50vu,2-nodes,1933,5279
2026-09-22T23:05:04.099Z,50vu,2-nodes,1936,5238
2026-09-22T23:05:19.549Z,50vu,2-nodes,1975,5352
