ts,stage,pod,cpu_millicores,mem_mib
2026-09-22T22:58:30.851Z,50vu,lt-invoicerr-api-6cddcf64b-4twlz,3,503
2026-09-22T22:58:30.851Z,50vu,lt-invoicerr-api-6cddcf64b-c4ftf,39,561
2026-09-22T22:58:30.851Z,50vu,lt-invoicerr-api-6cddcf64b-rx658,28,501
2026-09-22T22:58:30.851Z,50vu,lt-invoicerr-ocr-5845b7c897-zh6hj,1,12
2026-09-22T22:58:30.851Z,50vu,lt-invoicerr-postgres-6f67654f68-xx99w,24,68
2026-09-22T22:58:30.851Z,50vu,lt-invoicerr-redis-64c5d7869-qzhj9,10,21
2026-09-22T22:58:30.851Z,50vu,lt-invoicerr-worker-69b596b5f6-bsbgz,4,496
2026-09-22T22:58:30.851Z,50vu,lt-invoicerr-worker-69b596b5f6-mqbkq,2,511
2026-09-22T22:58:30.851Z,50vu,lt-invoicerr-worker-69b596b5f6-nc85c,4,482
2026-09-22T22:58:30.851Z,50vu,mailpit-dd68cc87d-lmg7m,0,16
2026-09-22T22:58:47.091Z,50vu,lt-invoicerr-api-6cddcf64b-4twlz,258,563
2026-09-22T22:58:47.091Z,50vu,lt-invoicerr-api-6cddcf64b-c4ftf,99,567
2026-09-22T22:58:47.091Z,50vu,lt-invoicerr-api-6cddcf64b-rx658,27,501
2026-09-22T22:58:47.091Z,50vu,lt-invoicerr-ocr-5845b7c897-zh6hj,1,12
2026-09-22T22:58:47.091Z,50vu,lt-invoicerr-postgres-6f67654f68-xx99w,18,56
2026-09-22T22:58:47.091Z,50vu,lt-invoicerr-redis-64c5d7869-qzhj9,9,22
2026-09-22T22:58:47.091Z,50vu,lt-invoicerr-worker-69b596b5f6-bsbgz,2,496
2026-09-22T22:58:47.091Z,50vu,lt-invoicerr-worker-69b596b5f6-mqbkq,2,511
2026-09-22T22:58:47.091Z,50vu,lt-invoicerr-worker-69b596b5f6-nc85c,2,482
2026-09-22T22:58:47.091Z,50vu,mailpit-dd68cc87d-lmg7m,0,16
2026-09-22T22:59:02.916Z,50vu,lt-invoicerr-api-6cddcf64b-4twlz,991,543
2026-09-22T22:59:02.916Z,50vu,lt-invoicerr-api-6cddcf64b-c4ftf,992,586
2026-09-22T22:59:02.916Z,50vu,lt-invoicerr-api-6cddcf64b-rx658,888,581
2026-09-22T22:59:02.916Z,50vu,lt-invoicerr-ocr-5845b7c897-zh6hj,1,12
2026-09-22T22:59:02.916Z,50vu,lt-invoicerr-postgres-6f67654f68-xx99w,160,154
2026-09-22T22:59:02.916Z,50vu,lt-invoicerr-redis-64c5d7869-qzhj9,18,22
2026-09-22T22:59:02.916Z,50vu,lt-invoicerr-worker-69b596b5f6-bsbgz,308,532
2026-09-22T22:59:02.916Z,50vu,lt-invoicerr-worker-69b596b5f6-mqbkq,155,549
2026-09-22T22:59:02.916Z,50vu,lt-invoicerr-worker-69b596b5f6-nc85c,58,487
2026-09-22T22:59:02.916Z,50vu,mailpit-dd68cc87d-lmg7m,9,35
2026-09-22T22:59:18.973Z,50vu,lt-invoicerr-api-6cddcf64b-4twlz,701,639
2026-09-22T22:59:18.973Z,50vu,lt-invoicerr-api-6cddcf64b-c4ftf,762,655
2026-09-22T22:59:18.973Z,50vu,lt-invoicerr-api-6cddcf64b-rx658,838,562
2026-09-22T22:59:18.973Z,50vu,lt-invoicerr-ocr-5845b7c897-zh6hj,1,12
2026-09-22T22:59:18.973Z,50vu,lt-invoicerr-postgres-6f67654f68-xx99w,206,144
2026-09-22T22:59:18.973Z,50vu,lt-invoicerr-redis-64c5d7869-qzhj9,21,22
2026-09-22T22:59:18.973Z,50vu,lt-invoicerr-worker-69b596b5f6-bsbgz,308,532
2026-09-22T22:59:18.973Z,50vu,lt-invoicerr-worker-69b596b5f6-mqbkq,422,530
2026-09-22T22:59:18.973Z,50vu,lt-invoicerr-worker-69b596b5f6-nc85c,404,525
2026-09-22T22:59:18.973Z,50vu,mailpit-dd68cc87d-lmg7m,15,63
2026-09-22T22:59:34.813Z,50vu,lt-invoicerr-api-6cddcf64b-4twlz,822,603
2026-09-22T22:59:34.813Z,50vu,lt-invoicerr-api-6cddcf64b-c4ftf,596,641
2026-09-22T22:59:34.813Z,50vu,lt-invoicerr-api-6cddcf64b-rx658,375,566
2026-09-22T22:59:34.813Z,50vu,lt-invoicerr-ocr-5845b7c897-zh6hj,1,12
2026-09-22T22:59:34.813Z,50vu,lt-invoicerr-postgres-6f67654f68-xx99w,232,152
