ts,stage,wait,active,delayed,prioritized,failed,pg_connections
2026-09-22T22:58:30.851Z,50vu,0,0,8,0,0,46
2026-09-22T22:58:47.091Z,50vu,43,3,8,0,0,44
2026-09-22T22:59:02.916Z,50vu,43,3,6,0,0,46
2026-09-22T22:59:18.973Z,50vu,41,3,8,0,0,49
2026-09-22T22:59:34.813Z,50vu,41,3,8,0,0,47
2026-09-22T22:59:50.579Z,50vu,41,3,8,0,0,46
2026-09-22T23:00:06.642Z,50vu,45,3,3,0,0,48
2026-09-22T23:00:22.579Z,50vu,3,3,8,0,0,30
2026-09-22T23:00:38.392Z,50vu,0,2,8,0,0,42
2026-09-22T23:00:54.107Z,50vu,0,1,8,0,0,27
2026-09-22T23:01:09.852Z,50vu,0,2,8,0,0,26
2026-09-22T23:01:25.502Z,50vu,0,1,8,0,0,26
2026-09-22T23:01:41.189Z,50vu,0,2,8,0,0,26
2026-09-22T23:01:56.995Z,50vu,0,1,8,0,0,30
2026-09-22T23:02:12.591Z,50vu,0,0,8,0,0,26
2026-09-22T23:02:28.226Z,50vu,0,1,8,0,0,26
2026-09-22T23:02:43.859Z,50vu,0,3,8,0,0,24
2026-09-22T23:02:59.512Z,50vu,0,2,8,0,0,34
2026-09-22T23:03:15.128Z,50vu,0,2,8,0,0,30
2026-09-22T23:03:30.789Z,50vu,0,1,8,0,0,26
2026-09-22T23:03:46.351Z,50vu,0,0,8,0,0,13
2026-09-22T23:04:01.960Z,50vu,0,0,8,0,0,13
2026-09-22T23:04:17.506Z,50vu,0,0,8,0,0,12
2026-09-22T23:04:33.050Z,50vu,0,0,8,0,0,10
2026-09-22T23:04:48.535Z,50vu,0,0,8,0,0,11
2026-09-22T23:05:04.099Z,50vu,0,0,8,0,0,12
2026-09-22T23:05:19.549Z,50vu,0,0,8,0,0,9
